עומר טייכר | מדריך וטכנאי מחשבים: (16:33) : אתם יכולים לרשום בצ'אט מה שאתם רוצים, לשאול שאלות, להעיר הערות, 
עומר טייכר | מדריך וטכנאי מחשבים: (43:15) : את הקבצים שאתם מוחקים מפה אי אפשר לשחזר למשל אם אתם מוחקים בג'ימייל אם אתם מוחקים מתוך השירות של גוגל דרייב שאני תכף אראה אם אתם מוחקים מהתמונות זה נשמר באש למשך 30 יום ואז אתם יכולים לשחזר את זה אם אתם מוחקים את זה מגוגל וואן זה ימחק לצמיתות לכן צריכים להיות מאוד מאוד מאוד זהירים 
עומר טייכר | מדריך וטכנאי מחשבים: (43:39) : אני רוצה לשים דגש על עוד משהו אחד 
עומר טייכר | מדריך וטכנאי מחשבים: (43:42) : אז בוא אני אסביר את זה אחרי זה אני לא אסביר את זה עכשיו אני אראה לכם עוד כמה שיטות למחוק דברים יש פה כל מיני אימילים עם קבצים גדולים לדוגמה אם קיבלתם כל מיני קבצים מי? מעצב גרפי או מכל מיני צלמים, תמונות, זה יכול לתפוס הרבה מאוד נפח. אתם יכולים ללחוץ על בדיקה, אתם רואים את כל האימיילים שלכם, עם 
עומר טייכר | מדריך וטכנאי מחשבים: (44:06) : הרבה מאוד קבצים מצורפים, אימיילים בהשפעה. אני אסביר לכם למה אימיילים בהשפעה תופסים מקום. או זה ההזדמנות. 
עומר טייכר | מדריך וטכנאי מחשבים: (44:16) : אתם יכולים לראות שבחלק הזה שנקרא אימיילים בהשפעה, 
עומר טייכר | מדריך וטכנאי מחשבים: (44:22) : אתם יכולים לפנות את הקבצים האלה, ולמה. למה אפשר לפנות קבצים בהשפעה? 
עומר טייכר | מדריך וטכנאי מחשבים: (44:28) : הרבה אנשים 
עומר טייכר | מדריך וטכנאי מחשבים: (44:31) : שמוחקים קבצים מהמחשב שלהם הקבצים האלה עוברים להשפעה אתם שמים לב לסל מחזור שלכם כשאתם מוחקים עם קבצים הם עוברים לסל מחזור 
עומר טייכר | מדריך וטכנאי מחשבים: (44:42) : מה שקורה, שהקבצים נמצאים בתוך הסל מחזור, הם תופסים מקום במחשב. הם לא נמחקים, הם לא מפנים מקום בדיסק הקשיח במחשב, שלכם הם רק עוברים לסל המחזור. ולמה? 
עומר טייכר | מדריך וטכנאי מחשבים: (44:57) : בעצם הם מפנים את המקום מהעין, אתם לא רואים אותם, אבל הם ממשיכים לתפוס מקום. כדי שהמחשב יוכל ביום מן הימים לשחזר אותם מסל המחזור. אם שאתם נכנסים לסל המחזור אתם יכולים לעשות כפתור ימני שחזר על איזה קובץ, לשחזר אותו למחשב, במי שזה יקרה אתם צריכים שהקובץ הזה ימשיך להישמר בתוך המחשב שלכם, זאת אומרת שכל הזו נמצא בסל מחזור הוא עדיין תופס מקום, אותו דבר בענן של גוגל וזה חשוב לדעת, גם למי ששמע את ההרצאה הזאת אלף פעם, חשוב לדעת, כשאתם מוחקים מיילים, 
עומר טייכר | מדריך וטכנאי מחשבים: (45:38) : מהגוגל שאתם מוחקים קבצים מהגוגל דרייבר שאתם מוחקים תמונות מהגוגל פוטוס הם ממשיכים לתפוס מקום בהכסון שלכם עד שאתם לא תמחקו אותם מההשפעה ובכל שירות יש למטה השפעה ואני תכף אראה לכם אני בוא אני אראה לכם למשל 
עומר טייכר | מדריך וטכנאי מחשבים: (45:58) : את הgmail אני אראה לכם את זה בכל שירות שאתה לכם בריף קטן למשל 
עומר טייכר | מדריך וטכנאי מחשבים: (46:06) : בג'ימייל, אם אני מוחק 
עומר טייכר | מדריך וטכנאי מחשבים: (46:08) : מייל, אני מוחק כרגע מייל, 
עומר טייכר | מדריך וטכנאי מחשבים: (46:11) : הוא עובר אוטומטי להשפעה, תסתכלו אתם יכולים לראות פה את ההשפעה, ותוכלו לראות פה את האימייל, אוקיי? למה האימייל הזה נמצא פה? שנוכל לשחזר אותו בעתיד, ולכן הוא תופס מקום. אם למשל נכנס לגוגל דרייב שלי, אני אראה לכם את הגוגל דרייב שלי, תסתכלו, למשל נכנסתי לתקיית טיולים, אירופה. אולנד ומחקתי טיול העברתי אותו להשפעה למה הוא עבר להשפעה כדי שאני אוכל לשחזר אותו אם אני אלחץ על שלוש נקודות אני אוכל לשחזר אותו בשביל שאני אוכל לשחזר אותו הוא ממשיך לתפוס לי נפח איחסון אוקיי הוא לא מתפנה אם אני רוצה 
עומר טייכר | מדריך וטכנאי מחשבים: (47:00) : לפנות נפח איחסון אני צריך לעשות ריקון השפעה או בג'ימל ריקון השפע בכל 
עומר טייכר | מדריך וטכנאי מחשבים: (47:08) : שירות יש לי אופציה שנקראת ריקון השפע ששם זה מנקל את ההשפע שלי ואז למשל אם תסתכלו במחשב בסל המחזור יש לי כפתור ימני 
עומר טייכר | מדריך וטכנאי מחשבים: (47:21) : רוקן את סל המחזור הוא ריק אצלי אז אתם לא רואים אז סתם אני דוגמה אני 
עומר טייכר | מדריך וטכנאי מחשבים: (47:25) : אראה לכם איזה משהו אני אמחק קובץ 
עומר טייכר | מדריך וטכנאי מחשבים: (47:33) : זה מוחקת לי עצמיתות, בוא נראה אם יש לי מחיקה כזאת איזה, לא משנה, מחקתי קובץ, הוא עובר ישירות להשפעה, 
עומר טייכר | מדריך וטכנאי מחשבים: (47:41) : כל עוד אני לא מסנן את הכל, אני מוחקת השפעה, 
עומר טייכר | מדריך וטכנאי מחשבים: (47:46) : הנפח נשאר, זה מאוד חשוב, אבל אני חוזר ואומר, מה שאתם מוחקים מהשירות של גוגל וואן נמחק לעצמיתות, הוא לא עובר להשפעה. 
עומר טייכר | מדריך וטכנאי מחשבים: (47:57) : ובכוונה מתעכב על השירות הזה ולא עובר ישר כי השירות הזה מאוד חשוב לארגן את הנפח היחסון שלכם אתם יכולים גם לפנות שטח יחסון לפי שירות לפי גוגל דרייב לפי ג'ימי לפי גוגל דרייב תשחקו עם זה אוקיי תשחקו עם זה ומה שאתם לא בטוחים בא למחוק לא למחוק כי אם אתם מחוקים מפה זה לצמיתות ואתם לא רוצים למחוק לצמיתות אין מישהו שיחזר לכם את זה אחרי זה עכשיו יש פה שאלה מה זאת אומרת גימוי מהטלפון? גימוי מהטלפון זה גיבוי שברגע שאת נכנסת לחשבון הגוגל שלך בטלפון, יש לך נגיד אנדרואיד, לך, לך, לא יודע, כתוב אין, ואת נכנסת לחשבון הגוגל, אוטומטיה ההגדרות בטלפון שלך נכנסים לגיבוי. כשאת קונה טלפון חדש, כל ההגדרות שלך, של הטלפון, עוברות לטלפון החדש. 
עומר טייכר | מדריך וטכנאי מחשבים: (48:50) : זה משהו שקוף כזה, את לא רואה אותו. 
עומר טייכר | מדריך וטכנאי מחשבים: (48:54) : אבל הוא קיים שם ואז גם אתם יכולים לראות פה, 
עומר טייכר | מדריך וטכנאי מחשבים: (48:59) : אתם יכולים לראות פה, רגע, בדף הבית, פה בגיבוי אתם יכולים לראות את כל הגיבוי שמתבצע מהטלפון שלכם, זה גיבוי המכשיר שלכם. אה, אני בואו נראה רגע מה הוא מגבה מהטלפון, את האפליקציות ונתוני האפליקציות, היסטוריות השיחות, אנשי קשר, הגדרות מכשיר, SMS, אתם יכולים לראות פה את כל מה שהוא מגבה, פשוט. 
עומר טייכר | מדריך וטכנאי מחשבים: (49:24) : עכשיו אני רוצה לעבור לחלק השני. 
עומר טייכר | מדריך וטכנאי מחשבים: (49:28) : חלק השני בהדגמה 
עומר טייכר | מדריך וטכנאי מחשבים: (49:32) : זה החלק שבו אני מראה לכם איך מגבים נכון את המחשב שלכם. מסנכרנים נכון. אני אסביר מה ההבדל בין סינכרון לבין גיבוי. כי יש... 
עומר טייכר | מדריך וטכנאי מחשבים: (49:45) : כי זה חשוב. 
עומר טייכר | מדריך וטכנאי מחשבים: (49:48) : מה שקורה בגוגל דרייב זה נקרא סינכרון ואני אסביר. סינכרון זה כמו מראה. תחשבו שאתם עומדים מול המראה ואתם מזיזים את הידו. 
עומר טייכר | מדריך וטכנאי מחשבים: (49:59) : כשאתם מזיזים את היד במציאות גם היד במראה זזה נכון? פשוט. אותו דבר במחשב. כשאתם למשל מסנכרנים את התקייה הזאת לענן, למשל קבצי תרגולו, ואתם מוחקים קובץ מהמחשב, 
עומר טייכר | מדריך וטכנאי מחשבים: (50:15) : הוא נמחק גם בענן, אבל הוא לא נמחק לצמיתות, הוא נשאר ל-30 יום, הוא עובר להשפע. אני אראה לכם, אני אראה לכם איך זה קורה בלייב. למשל, אתם רואים את הקובץ ביזנס? אני מוחק את הקובץ ביזנס. ואם אני אלך לתיקיית גוגל דרייב שלי, 
עומר טייכר | מדריך וטכנאי מחשבים: (50:34) : בענן, 
עומר טייכר | מדריך וטכנאי מחשבים: (50:36) : אני הולך לתוך השפע. אני יכול לראות את הקובץ ביזנס, אתם רואים את הקובץ ביזנס? הוא עובר להשפעה, לכן אתם יכולים לדעת שגם אם מחקתם בטעות, גם אם מחקתם בטעות, אחד מהקובץים הוא נשאר 30 יום, זה המון זמן. המון זמן כבר להבין שהקובץ לא נמצא ואתם צריכים לשחזר אותו. אני רוצה לשחזר את הקובץ, תסתכלו, הביזנס לא היה קיים. תסתכלו איך זה מסונכרן, איך זה מראה, אוקיי? תסתכלו. בתוך תקיית קבצי תרגול היה לי קובץ בשם ביזנס בוא נראה את השם שלו ביזנס 29 אתם יכולים לראות מה קרה שקרה גם אחר קצת טוב אין לי ביזנס 29 אבל 
עומר טייכר | מדריך וטכנאי מחשבים: (51:22) : אם אני אעשה לו כפתור ושחזור 
עומר טייכר | מדריך וטכנאי מחשבים: (51:27) : רואים אני המסך משותף מסך משותף מי שאני אני רואה את הקלה 
עומר טייכר | מדריך וטכנאי מחשבים: (51:36) : תגידו לי אם אתם רואים כאילו תכתבו לי שנדע שאני זה שהכל טוב כי המסך שלי משותף. תתעוררו מהתרדמת. 
עומר טייכר | מדריך וטכנאי מחשבים: (51:46) : רואים, יפה. מי שיש לו בעיה זה כנראה אצלו. יש לשוניות למעלה של לשונית אחד של שיתוף מסך. אפשר לעבור אליה. אז בואו נחזור להדגמה. אם אני משחזר את הקובץ ביזנס 29. 6, 6. תסתכלו, שחזרתי את הקובץ. ואני אחכה, תסתכלו, הוא חזר תוך שנייה. ביזנס 29, תוך שנייה הוא חזר למחשב שלי. זה מראה גיבוי הוא בעצם כספת מה זאת אומרת שאני למשל מעתיק לגיבוי לכונן חיצוני לדוגמה 
עומר טייכר | מדריך וטכנאי מחשבים: (52:20) : אני בעצם זה אין קשר בין המחשב שלי לבין הכספת הקבצים נשמרים גם במחשב וגם בכונן חיצוני למשל הכונן החיצוני שלכם אבל 
עומר טייכר | מדריך וטכנאי מחשבים: (52:32) : מה שלא טוב בדבר הזה או חסר שזה לא מעודכן זאת אומרת שאם אתם עובדים על דברים על קבצים הם לא יהיו מעודכנים בגיבוי לכן, כמו שאמרתי לכם מקודם, מה מעבירים לקונן חיצוני בדרך כלל, מה שאני ממליץ להעביר, זה כל מיני קבצים מפעם, קבצים שאתם עובדים עליהם בתדירות של אחד לשנה, אחד לשנתיים, אחד לשלוש, סרטונים מפעם, קבצים מפעם, נוסטלגיה, כל מיני דברים ישנים, גיבויים ישנים, חומרים עם מחשבים שהיו לכם לפני, לא יודע. 
עומר טייכר | מדריך וטכנאי מחשבים: (53:08) : 20 שנה זה דברים שאפשר לשמור בדיסק חיצוני לא צריך לשמור כל דבר בדיסק חיצוני 
עומר טייכר | מדריך וטכנאי מחשבים: (53:15) : אז בעצם התוכנה 
עומר טייכר | מדריך וטכנאי מחשבים: (53:18) : שמסנחרנת לנו את המחשב לענן נקראת Drive for Desktop אני לא אראה לכם איך מתקינים אותה כי זה תהליך התקנה 
עומר טייכר | מדריך וטכנאי מחשבים: (53:30) : והוא תהליך מאוד אינדיבידואלי אבל אני אראה לכם איך מגיעים לתוכנה הזאת ואני גם אשלח לכם את זה במייל הסיכום אוקיי 
עומר טייכר | מדריך וטכנאי מחשבים: (53:39) : אני לוחץ Drive 
עומר טייכר | מדריך וטכנאי מחשבים: (53:43) : for 
עומר טייכר | מדריך וטכנאי מחשבים: (53:46) : Desktop אני לוחץ Enter 
עומר טייכר | מדריך וטכנאי מחשבים: (53:50) : ויש לי פה Drive for Desktop ככה נקראת התוכנה של גוגל שמסנכנת בין המחשב שלכם לענן Drive for Desktop אני לוחץ על זה ויש לי פה install and open drive for desktop יש לי פה גם כפתור כחול download for desktop 
עומר טייכר | מדריך וטכנאי מחשבים: (54:13) : אל תתאמצו יותר מדי אני אשלח לכם את הקישור הישיר איך עושים את זה רק תדעו שקוראים לתוכנה drive for desktop והיא התוכנה שמסנכנת 
עומר טייכר | מדריך וטכנאי מחשבים: (54:22) : בין המחשב שלכם לאננו עכשיו אני אראה לכם את הטעויות הנפוצות שקורות 
עומר טייכר | מדריך וטכנאי מחשבים: (54:30) : מה שקורה שאנשים התוכנה לא מסנכרנת את המחשב שלהם 
עומר טייכר | מדריך וטכנאי מחשבים: (54:35) : התוכנה אחרי שאתם מתקינים אותה, את הדרייבור דסקטופ, יש לה כמה הגדרות שצריך להגדיר, שוב אמרתי זה אינדיבידואלי ואני לא יכול להראות את זה כרגע, כי כל אחד יראה את זה בצורה שונה, זה לא רלוונטי לכולכם. כשאני פותח את התוכנה, 
עומר טייכר | מדריך וטכנאי מחשבים: (54:51) : זה מה שאני רואה, אני רואה בעצם את הפאנלו, את הדשבורדו, את התצוגה הכללית של הדרייבור. מה אני רואה? אני רואה 
עומר טייכר | מדריך וטכנאי מחשבים: (55:04) : את מה שמעודכן, את הפעילות. מה זה הפעילות? אפשר לשם את הידף שמחקתי קובץ ביזנס 29 והחזרתי את הקובץ ביזנס 29. זה בעצם מראה לי את הפעילות שקורית בענן שלי. אבל רק את שלושת הקבצים האחרונים, אוקיי? רק את שלושת הקבצים האחרונים שעשיתי בהם. אתן לכם דוגמה שתראו בלייב, אוקיי? 
עומר טייכר | מדריך וטכנאי מחשבים: (55:30) : את ביזנס 21, מחקתי בוא נראה מה זה עושה. אופה מעביר להשפעת ביזנס 21, הכל בזמן אמת, הכל בזמן אמת. יכולים לראות הכל בזמן אמת מה קורה. ולמשל סתם לדוגמה 
עומר טייכר | מדריך וטכנאי מחשבים: (55:44) : אני רוצה לשחזר כובעת הוא יראה לי אותו כל מה שקורה הוא מראה. הלאה. דבר נוסף לא כדאי לבקש תוכנית להבטחת, להקדיש תוכנית להבטחת מידע במחשב. 
עומר טייכר | מדריך וטכנאי מחשבים: (55:58) : אני עושה את זה מדי פעם. כאילו הבטחת מידע 
עומר טייכר | מדריך וטכנאי מחשבים: (56:02) : זה משהו שכאילו 
עומר טייכר | מדריך וטכנאי מחשבים: (56:04) : אני אמשיך עם זה אחרי זה. 
עומר טייכר | מדריך וטכנאי מחשבים: (56:06) : הדבר הבא שאני רוצה להתמקד עליו שהוא אולי החשוב ביותר 
עומר טייכר | מדריך וטכנאי מחשבים: (56:13) : בדבר הזה זה 
עומר טייכר | מדריך וטכנאי מחשבים: (56:16) : אתם רואים את גלגל השיניים למעלה בצד שמאלו? יש לכם גלגל שיניים שדרכו אפשר, אני יכול להגדיל את 
עומר טייכר | מדריך וטכנאי מחשבים: (56:26) : זה? לא. 
עומר טייכר | מדריך וטכנאי מחשבים: (56:27) : אפשר להיכנס לכל ההגדרות בכל שירות של גוגל אם אני לוחץ על גלגל השיניים ולוחץ על העדפות 
עומר טייכר | מדריך וטכנאי מחשבים: (56:36) : אני נכנס פה לאפשרות לגבות תיקיות מהמחשב שלי לסנכן תיקיות מהמחשב שלי זה בעצם התיקיות שישמרו לי על הענן שלי בגוגל בגוגל דרייב ואותם אני יכול לראות מכל מקום ואם יקרה משהו למחשב שלי 
עומר טייכר | מדריך וטכנאי מחשבים: (56:57) : ישמרו ואני לא צריך לפחד שהם יימחקו 
עומר טייכר | מדריך וטכנאי מחשבים: (57:01) : יש טכנאים שאומרים כן אבל אם ייכנס לך וירוס כופר אז זה יעבור לענן ואם יהיה לך וירוס זה יעבור לענן תראו 
עומר טייכר | מדריך וטכנאי מחשבים: (57:12) : הפחדות יש כל הזמן מישהו יש לו אנטי וירוס טוב 
עומר טייכר | מדריך וטכנאי מחשבים: (57:19) : וגם גוגל דרייב הענן של גוגל הוא מאתר וירוסים ושומר אין שום סיבה אני 
עומר טייכר | מדריך וטכנאי מחשבים: (57:25) : לא ראיתי בה 15 שנה אחרונות אף אחד לא נכנס לו וירוס לגוגל ואף אחד שאלה לו דברים לגוגל שום דבר לא ראיתי שום בעיה בגוגל הרוב זה הפחדות שתקנו שירותים אוקיי כאילו בואו לא נלך רחוק 
עומר טייכר | מדריך וטכנאי מחשבים: (57:44) : הרבה מההפחדות בשביל שתקנו שירות אבל מהניסיון שלי גוגל טרייב זה מספיק לאנשים 
עומר טייכר | מדריך וטכנאי מחשבים: (57:51) : אנטי וירוס טוב שהוא מגן על וירוסים ו... והשירות של הענן מספיק לכם בשביל לסנחן את הקבצים שלכם, ולא לפחד שיעברו וירוסים לענן. אז בעצם גם אם יש לכם איזה וירוס הוא לא יעבור לענן, אוקיי? הוא לא יעבור, הוא יסונן על ידי גוגלו. עכשיו אם למשל יש לכם תקיות במחשב שאתם רוצים לסנחרן, בענן אתם בעצם לוחשים על הוסף תקייה, 
עומר טייכר | מדריך וטכנאי מחשבים: (58:24) : ואתם מוסיפים את התיקיות, זה יכול להיות מסמכים, 
עומר טייכר | מדריך וטכנאי מחשבים: (58:28) : זה יכול להיות, בואו נראה איזה תיקיות יש לי פה. זה יכול להיות מסמכים, תמונות, הורדות, כל מיני תיקיות שיש לכם. יכול להיות כל מיני דברים, בואו נראה איזה תיקיות יש לי במערכת. אני אראה לכם איזה תיקיות יש לי. 
עומר טייכר | מדריך וטכנאי מחשבים: (58:51) : זה יכול להיות תקיית מסמכים, סרטוני וידאו, 
עומר טייכר | מדריך וטכנאי מחשבים: (58:56) : שולחן עבודה, הכי חשוב. שולחן עבודה, זאת תקייה שאתם חייבים לשמור אותה. 
עומר טייכר | מדריך וטכנאי מחשבים: (59:03) : מסמכים, מאוד מאוד חשוב. 
עומר טייכר | מדריך וטכנאי מחשבים: (59:07) : וכל מיני תקיות קטנות כאלה, לפעמים תמונות. 
עומר טייכר | מדריך וטכנאי מחשבים: (59:11) : אתם יכולים לחשוב בעצמכם מה אתם חייבים לשיהיה לכם בענן. ומה אפשר להתייעץ עם טכני שכדאי גם לעלות לנהלם שלך. כל מיני גיבויים של תיקיות כמו רווחית וחשב שבת, וכל מיני גיבויים לכל מיני תיקיות של עסקים, זה גם חשוב שיעלה לענן. אבל 
עומר טייכר | מדריך וטכנאי מחשבים: (59:31) : אני רוצה 
עומר טייכר | מדריך וטכנאי מחשבים: (59:33) : להבהיר משהו. לכל אחד מכם יש נפח יחסון שהוא קנה. לאלה מכם בחינם יש 15 ג'יגה, יש כאלה שיש להם 100 ג'יגה, יש כאלה שיש להם 200 ג'יגה, כל אחד ממש הוא קנה. אם אתם מעלים לענן, יותר מנפח היחסון שלכם אתם חונקים את הענן ואתם לא תוכלו לקבל יותר מיילים אתם תראו הודעות שגיאה שנפח היחסון שלכם מלא והקפצו לכם הודעות שגיאה ואתם תתקשרו ותגידו לי יש לי מלא הודעות שגיאה אני לא יודע מה לעשות עם הודעות השגיאה האלה. על כל התלפונים האלה קברו ובשביל להימנע מזה לא מעלים לענן. יותר קבצים, מה שיש לכם מקום. יש לכם 15 תספקו ב-15, אתם לא רוצים לשלם. יש לכם 100 תספקו ב-100 ואתם לא רוצים לשלם יותר. לא חונקים. איך אתם יכולים לראות כמה אתם מעלים? אתם יכולים לראות בתיקיות שלכם את נפח היחסון שלכם. למשל יש לי פה 176, אני יכול להוסיף תיקייה, אני לא אוסיף אותה. אבל למשל בואו נראה מסמכים. יש לי במסמכים 2.9. זה ועוד 
עומר טייכר | מדריך וטכנאי מחשבים: (1:00:42) : סך הכל נגיד יהיה לי 20 ג'יגה וזה לא ייכנס לי בתוך החשבון החינם יש כאלה שיש להם מאות ג'יגה. אוקיי צריך להיות הלימה בין הנפח שאתם רוצים להעלות לנפח. 
עומר טייכר | מדריך וטכנאי מחשבים: (1:00:55) : אוקיי שאלה טובה נכון שאלה טובה לא התייחסתי לזה שאלה טובה. 
עומר טייכר | מדריך וטכנאי מחשבים: (1:01:00) : טלגרם לא טלגרם לא נשמר בענן אבל וואטסאפ נשמר בעננה אוקיי. 
עומר טייכר | מדריך וטכנאי מחשבים: (1:01:08) : שוב, זה לא תופס המון מקום. למי שיש חשבון חינה מכן זה יתפוס לו נפח, נכון? נכון בגלל שפה אין גיבוי אבל כן אני רוצה לחזור לזה רגע, אני רוצה לחזור לזה. 
עומר טייכר | מדריך וטכנאי מחשבים: (1:01:21) : מי כתב? יעקב. יעקב אתה צודק, יעקב אתה צודק. כשאני הולך ל-Google One, 
עומר טייכר | מדריך וטכנאי מחשבים: (1:01:30) : תסתכלו פה בשטח היחסון. 
עומר טייכר | מדריך וטכנאי מחשבים: (1:01:34) : זה חשבון שאני לא מגבה בו את ה-WhatsApp אבל בחשבון ההכסון שלכם אתם תראו פה עוד קטגוריה שנקראת אחר ופה בקטגוריה הזאת יהיה את ה-WhatsApp שלכם. אוקיי? גם ה-WhatsApp הוא בשטח ההכסון. 
עומר טייכר | מדריך וטכנאי מחשבים: (1:01:50) : SMS לא, SMS לא. חוץ לאסמסים תופסים מעט מאוד נפח זה לא משמעותי. הודעת WhatsApp יש בהם גם מדיה. יש בהם סרטונים, יש בהם תמונות וזה מה שתופס את המקום, התמונות והסרטונים. ההודעות עצמם, הטקסט הם לא תופסים מקום, טקסט לא תופס מקום. באופן הקודש שאתם ידעו, טקסט הוא לא תופס כמעט נפח. יש לכם קבצי טקסט, וורד, פי די אפים, דברים כאלה זה תופס מאוד מאוד נפח. מה תופס נפח? סרטונים ותמונות. 
עומר טייכר | מדריך וטכנאי מחשבים: (1:02:23) : טלגרם לא, טלגרם לא, אני לא, אין לי טלגרם אבל אני לא חושב שהוא מגובל לגוגל דרייב, טלגרם. מה קורה עם הודעות מהוואטסאפ, מהטלגרם שאני מוחק ואין תופסים מקום? 
עומר טייכר | מדריך וטכנאי מחשבים: (1:02:34) : לא, זה לא תופס מקום. 
עומר טייכר | מדריך וטכנאי מחשבים: (1:02:38) : איך ניתן לפנות כמוגדולה של תמונות? 
עומר טייכר | מדריך וטכנאי מחשבים: (1:02:41) : שאלה טובה, תכף אני אעמוס, תכף אני אנה על השאלה הזאת, איך מפנים מקום מהגוגל לפוטו זו? 
עומר טייכר | מדריך וטכנאי מחשבים: (1:02:59) : תיקיות, איך מסנכים תיקיות מהמחשב שלכם לגוגל דרייבר. עכשיו אני רוצה לענות עוד שאלה קטנה לפני שאני ממשיך, על התמונות. מה שקורה, כשאתם קונים טלפון אנדרואידו, 
עומר טייכר | מדריך וטכנאי מחשבים: (1:03:17) : אתם מקבלים בתוך הטלפון אנדרואיד אפליקציה שנקראת פוטול תמונות. 
עומר טייכר | מדריך וטכנאי מחשבים: (1:03:22) : ברית מחדל זה ללאות את כל התמונות לאננו. אני אראה לכם מה קורה. 
עומר טייכר | מדריך וטכנאי מחשבים: (1:03:29) : תסתכלו 
עומר טייכר | מדריך וטכנאי מחשבים: (1:03:38) : אם אני פותח את החשבון גוגל אין לי קבצים בגוגל פוטו 
עומר טייכר | מדריך וטכנאי מחשבים: (1:03:42) : אבל נגיד היו לי אוקיי נגיד היו לי קבצים פה בגוגל פוטו 
עומר טייכר | מדריך וטכנאי מחשבים: (1:03:47) : קבצים שעלו מהטלפון שלי אוקיי ויש אנשים שכמות התמונות שלהם היא אדירה 
עומר טייכר | מדריך וטכנאי מחשבים: (1:03:54) : השם של התוכנה זה או תמונות, ככה היא נקראת גוגל תמונות בטלפון, או גוגל פוטוז, גוגל תמונות באנגלית. יש לכם שם אפשרות שנקראת סינכרון, אפשרות שנקראת סינכרון של התמונות. 
עומר טייכר | מדריך וטכנאי מחשבים: (1:04:09) : כשהאפשרות הזאת פועלת, 
עומר טייכר | מדריך וטכנאי מחשבים: (1:04:11) : הטלפון שלכם מעלה להנן את כל התמונות שלכם. 
עומר טייכר | מדריך וטכנאי מחשבים: (1:04:16) : יכול להיות 
עומר טייכר | מדריך וטכנאי מחשבים: (1:04:18) : עשרות ואפילו מאות ג'יגה. עכשיו אנחנו רוצים למחוק את התמונות האלה. 
עומר טייכר | מדריך וטכנאי מחשבים: (1:04:25) : זה לא פשוט. למחוק תמונות שעלו לענן מהטלפון זה לא פשוט למחוק. 
עומר טייכר | מדריך וטכנאי מחשבים: (1:04:31) : גוגל מערימה קשיים 
עומר טייכר | מדריך וטכנאי מחשבים: (1:04:34) : על האפשרות למחוק תמונות. למה? 
עומר טייכר | מדריך וטכנאי מחשבים: (1:04:38) : כדי שאתם לא תוכלו לרדת מנפח היחסון שלכם. לדוגמה, נגיד העליתם תמונות מהטלפון ששוקלות 50 ג'יגה. אוקיי? 50 ג'יגה של תמונות. 
עומר טייכר | מדריך וטכנאי מחשבים: (1:04:53) : מקשה על המחיקה שלהם, מקשה על הכמות שאפשר למחוק 
עומר טייכר | מדריך וטכנאי מחשבים: (1:04:58) : ועל הסימון של התמונות. זה קשה מאוד למחוק תמונות. מאוד. לכן צריך להיות מהתחלה כמה שפחות תמונות שיעלו מהטלפון לבטל את הסנכרון הזה בין הטלפון לענן. אוקיי? 
עומר טייכר | מדריך וטכנאי מחשבים: (1:05:14) : יש שירות, אם נפשט יש לי לקוחות 
עומר טייכר | מדריך וטכנאי מחשבים: (1:05:18) : שיש להם המון המון מידע והם לא צריכים אותו כבר על הענן, יש שירות שנקרא Take Out שאפשר להוריד, אני לא אכנס לזה עכשיו זה עולם אחר, שירות אחר, עולם אחר שאפשר להוריד את כל התמונות שלכם בבום לטלפון ולמחוק אותם מהענן. זה שירות אחר שאני לא אכנס אליו עכשיו, זה שירות כאילו צריכים ממש הגדרות ודברים כאלה. ואם יש לו המון המון תמונות בענן ורוצה לפנות מקום כי זה תופס לו המון המון נפח שמקשה עליו לחזור, 
עומר טייכר | מדריך וטכנאי מחשבים: (1:05:50) : שבגלל זה צריך לשלם הרבה יותר כסף וזה מעיק עליו וכל זה, אפשר לעשות כל מיני תהליכים להוריד את התמונות. אבל באופן עקרוני 
עומר טייכר | מדריך וטכנאי מחשבים: (1:06:00) : השאלה איך ניתן לפנות כמות גדולה של תמונות מוואן אי אפשרו. אי אפשרו. וזה בכוונה. הכל בכוונה. הכל המטרה של החברות שתשלמו יותר כסף, אוקיי? שלא תוכלו לחזור אחורה לתוכניות יותר זולות. שאם אתם לקחתם את ה-100 ג'יגה, זהו, אין חזרה לאחורו. מהיום יש רק 200 ג'יגה. ואם סיימתם את ה-200 ג'יגה, יש 2 טראר. זה המטרה של החברות, שלא יהיה לכם חזרה לאחורו. לכן מהתחלה צריך לעשות חושבים מה אנחנו מעלים ומה אנחנו לא מעלים לעננו. 
עומר טייכר | מדריך וטכנאי מחשבים: (1:06:38) : עכשיו אני רוצה להראות לכם עוד דבר. תראו בגוגל דרייב ובענן של גורי יש אין סוף דברים אני רוצה להראות לכם רק את הדברים שהכי חשובים לכם ליום יום לא צריך הכל. איך מבטלים את השירות לטלפון לענן? שוב בתוך הטלפון אני אראה את זה אחרי זה אין לי את האפליקציה בטלפון אני תכף אני אנסה להראות לכם את זה תכף אני תכף אחבר את הטלפון שלי אני אנסה להראות לכם 
עומר טייכר | מדריך וטכנאי מחשבים: (1:07:05) : יפה. יש לכם בענן 
עומר טייכר | מדריך וטכנאי מחשבים: (1:07:10) : הרבה אנשים שואלים אותי ככה, 
