עומר טייכר | מדריך וטכנאי מחשבים: (7:07) : תודה. 
עומר טייכר | מדריך וטכנאי מחשבים: (49:09) : במידה ועל גוף הקירור יש אבק, מה שקורה ברוב המחשבים במיוחד שלא מנקים אותם, המאברר לא מצליח לדחוף את האוויר דרך גוף הקירור אל תוך המאבד. המאבד מתחמם וכשהוא מתחמם הוא לא עובד כמו שצריך. רכיבים במיוחד במחשב עובדים הכי טוב כשהם קרירים קרים קרירים כל אחד והיכולות של המחשב שלו אבל כשהם קרים או קרירים עובדים הכי טוב מה שאנחנו עושים אנחנו לוקחים פן 
עומר טייכר | מדריך וטכנאי מחשבים: (49:40) : אנחנו מנקים את החריצים 
עומר טייכר | מדריך וטכנאי מחשבים: (49:43) : של הגוף קירור ודוחפים את האוויר בפן, אוויר קר, לא אוויר חם, אנחנו לא רוצים להרוץ את הרכיבים, אוויר קר ומנקים את האבק וגם מנקים את כל האבק משאר המעברים. תראו איך המחשב שלכם עובד הרבה הרבה יותר מהר. 
עומר טייכר | מדריך וטכנאי מחשבים: (50:04) : מילה של טכנאיו. 
עומר טייכר | מדריך וטכנאי מחשבים: (50:06) : הדבר הבא שאני בודק, הדבר הבא שאני רוצה לעשות זה אני לא אתעכב על ספסי יותר אבל טיפ למתקדמים טיפ למתקדמים 
עומר טייכר | מדריך וטכנאי מחשבים: (50:17) : חוץ מהתצוגה הזאת היא הראשית של ספסי של המחשב שלכם יש לכם עוד כל מיני מאפיינים של המאבד מאפיינים ממש טכנים של המאבד שלכם של הזיכרון שלכם שלוח האם שלכם תסכלו כמה 
עומר טייכר | מדריך וטכנאי מחשבים: (50:35) : את הצריכת חשמל 
עומר טייכר | מדריך וטכנאי מחשבים: (50:38) : וכמה הוא מקבל כמה וולט כאילו ממש של הקראטיס הגרפי דברים שצחיק זה סינית זה סינית מה עושים הולכים לפייל 
עומר טייכר | מדריך וטכנאי מחשבים: (50:50) : עושים אקספורט save as xml לא עזבו save as text file שומרים את כל הכובד של המאפיינים של המחשב נגיד 
עומר טייכר | מדריך וטכנאי מחשבים: (51:01) : בתיקיית המסמכים מעלים את זה לבינה המלאכותית אפשר לעלות לקובץ אפשר לעשות פלוס ולעלות לקובץ ולהתחיל לשאול את הבינה בעצם הקובץ הזה הוא מכיל את כל הפרטים על המחשב שלכם מכל הקטגוריות 
עומר טייכר | מדריך וטכנאי מחשבים: (51:21) : מהסיכום מערכת ההפעלה עד לכרטיס רשת שלכם הכל הכל הכל אתם יכולים לשאול את הבינה כמה המחשב שלכם צורף כמה חשמל הכל הכל הכל כל סעיף פה איזה איזה כרטיס קול יש לכם, 
עומר טייכר | מדריך וטכנאי מחשבים: (51:38) : איזה הדיסק הקשיח, הטמפרטורה שלו טובה או לא טובה, הכרטיס הגרפי שלכם כדאי לשדרג או לא כדאי לשדרג, לוח חיים, יש לו עצקנים חדשים או לא, כל מה שאתם רוצים לשאול, אתם יכולים לשאול את הבינה מהאיכותית בעזרת הקובץ הזה, כי הוא מייצא המון המון המון המון מידע. 
עומר טייכר | מדריך וטכנאי מחשבים: (51:56) : התוכנה השנייה שאני רוצה לגשת אליה, זאת תוכנה שנקראת C-Cleaner. דווקא אותה 
עומר טייכר | מדריך וטכנאי מחשבים: (52:05) : כן הייתי רוצה להתקין, 
עומר טייכר | מדריך וטכנאי מחשבים: (52:08) : ואני אראה לכם גם למה. למרות שאני לא מתלהב להתקין אותה, כי זה לוקח אולי קצת יותר זמן, אבל יש יתרון בזה שאני אתקין אותה פה. אני כנס, אני אכתוב Ccleaner, אני מראה לכם הכל איך אני כותב בעברית, שתראו כמה שזה מתרגם, ושלא תפחדו לרשום בעברית. אני רושם Ccleaner, 
עומר טייכר | מדריך וטכנאי מחשבים: (52:30) : אני 
עומר טייכר | מדריך וטכנאי מחשבים: (52:31) : לוחץ על Free Download, 
עומר טייכר | מדריך וטכנאי מחשבים: (52:34) : הוא יוריד לי את הקובץ, אני פותח אותו, 
עומר טייכר | מדריך וטכנאי מחשבים: (52:44) : אני עושה התקנה. 
עומר טייכר | מדריך וטכנאי מחשבים: (52:54) : התוכנות שאני מראה זה תוכנות מאוד מאוד קטנות, זה תוכנות שתופסות מגעות בודדות, זה לא תוכנות שתופסות מקום, בכלל תוכנות... זה לא משהו שתופס מקום במחשב, בדרך כלל זה מעט מאוד מקום התוכנות תופסות. 
עומר טייכר | מדריך וטכנאי מחשבים: (53:10) : הוא לא הציג לי את זה, אבל, אבל, אבל, אבל, כשאתם מתקינים, בלי שזה לא מותקן בפעם הראשונה במחשב שלי, אתם לא רואים את זה. אבל כשמתקינים את זה בפעם הראשונה, את התוכנה, הוא רושם לי למטה אם אני רוצה להתקין אנטיבירוס שנקרא אבסט. עכשיו, במידה ויש לכם אנטיבירוס קיים במחשב, לא מומלץ להתקין אנטי וירוס נוסף. זה פוגע במחשב וזה מעט את המחשב. 
עומר טייכר | מדריך וטכנאי מחשבים: (53:40) : אני רוצה להראות לכם כמה דברים בתוכנה הזאת. קודם כל אתם יכולים לראות שזאת גרסה חדשה של התוכנה. אני פחות אוהב אותה את הגרסה החדשה הזאת, אבל היא בסדר. 
עומר טייכר | מדריך וטכנאי מחשבים: (53:51) : הדבר השני שאני רוצה להראות לכם זה נקרא תוכנות. תוכנת עשרה. אם תרגימו את זה לעברית לא כל כך טוב. זה יותר כמו עשרה תוכנות. נלחץ על שריקה ונראה את כל התוכנות שנמצאות לנו במחשב. למה זה מאוד מאוד חשוב? אני אראה לכם. אחד מהדברים שמעטים את המחשב שלכם, שיש לכם כמה אנטי-וירוסים במחשב. בפעמים יש לנו אנטי-וירוס ראשי, לדוגמה e-set או כל דבר אחר, ותוכנות חינמיות מתחילות להתקין לנו כל מיני תוכנות. כך אומרים, אין מתנות חינם. כל תוכנה שהיא חינמית, היא מנסה לדחוף לכם איזה תוכנה. אקסטרה כזאת. אז אם יש לכם כמה תוכנות על המחשב, אתם מעט כמה אנטיבירוסים זה מעט את המחשב ופוגע גם באינטרנט שלכם. אתם יכולים לחפש, יש כמה אנטיבירוסים שהם בולטים, יש את איסט, יש את אבסט, יש את אביג'י ויש את מקפי ויש את נורטון. בעצם חמישה, איסט, אביג', אבסט, מקפי ונורטון. מקפי 
עומר טייכר | מדריך וטכנאי מחשבים: (54:59) : זה אנטיבירוס. אני לא ממליץ עליו, 
עומר טייכר | מדריך וטכנאי מחשבים: (55:02) : לא נתנף עליו, אבל אני לא ממליץ עליו, זה אנטיבירוס גרוע. 
עומר טייכר | מדריך וטכנאי מחשבים: (55:06) : זה אנטיבירוס שבלכן, הוא צומעים אותו במחשבים חדשים, אם אתם קונים מחשב של דל או לנובו, צומעים לכם מקפי בהתקנה על המחשב, ונותנים אותו לשבועיים, כאילו מתנה, אחרי שבועיים מסתיים התוקף שלו, אנשים עשירים את זה על המחשב כי הם לא יודעים מה לעשות, דופק להם את האינטרנט, 
עומר טייכר | מדריך וטכנאי מחשבים: (55:28) : לא טוב. אם אתם רואים מקפי על המחשב שלכם, זה מתחיל ב-MC, למחוק, הלאה, להתחיל לבדוק, יש לי כמה AVG, AVAS, יש לי כמה אנטיבירוסים, אם כן, להשאיר רק את האנטיבירוס שהוא הכי טוב. להתחיל לבדוק, יש תוכנה שאני לא יודעים מה היא, לעשות את זה בזהירות, אני לא ממליץ 
עומר טייכר | מדריך וטכנאי מחשבים: (55:56) : להתחיל למחוק תוכנות, לא. תוכנות שאתם בוודאות יודעים שהיא לא, שחברה אתם לא משתמשים בה, תוכנה ישנה, אתם יכולים למחוק אותה שלא תתפוס לכם מקום במחשב. יש תוכנות שתופסות הרבה הרבה מקום במחשב. אם אתם לא בטוחים, 
עומר טייכר | מדריך וטכנאי מחשבים: (56:12) : אתם יכולים לעזר באיש מקצוע. 
עומר טייכר | מדריך וטכנאי מחשבים: (56:15) : אז זה הדבר הראשון שאני מראה לכם, תוכנות שתופסות מקום. הדבר השני שאני רוצה להראות לכם זה... 
עומר טייכר | מדריך וטכנאי מחשבים: (56:27) : ניהול הפעלה, תסתכלו. פה אפשר לראות מה התוכנות שעולות בעת הפעלת המחשב. אתם יכולים לראות שיש כל מיני תוכנות שעולות בעת ההפעלה של המחשב. עכשיו, ככל שיש לכם יותר תוכנות, קודם כל המחשב שלכם יפעל לו, ההפעלה שלו תהיה יותר ריטית והוא יעבוד יותר לאט. ולמה? התוכנות האלה הן לא סתם עולות בהפעלה, הן גם יושבות לכם על הזיכרון. 
עומר טייכר | מדריך וטכנאי מחשבים: (56:57) : זאת אומרת שהן כל הזמן רצות ברקע ותופסות לכם מהזיכרון. הזיכרון זה בעצם חלק שמאפשר לכם להריץ תוכניות במקבילו. הזיכרון לדווח קצר שלנו שנקרא רם, אנחנו יכולים לראות את זה בתוכנה, אני אחזור לתוכנה שנייה ספסי, אני אראה לכם איפה זה נראה, 
עומר טייכר | מדריך וטכנאי מחשבים: (57:19) : שזה חשוב שתדעו. 
עומר טייכר | מדריך וטכנאי מחשבים: (57:24) : יכולים לראות לי יש 32 ג'יגה רם. לרוב האנשים יש 8 או 16, במחשבים שכבר צריך להחליף יש 4, אוקיי? 
עומר טייכר | מדריך וטכנאי מחשבים: (57:35) : מי שיש לו 4 סימן שהוא צריך להחליף את המחשב. בערך כלל יש 8 עד 16 במחשבים נורמליים. 
עומר טייכר | מדריך וטכנאי מחשבים: (57:43) : אם יש לכם 8 זה מעט מדי, כדאי לשדר רגע, אבל אם יש לכם 16 זה כבר בסדר. מה שקורה שיש לנו הרבה תוכנות שרצות ברקע, הן שואבות את הזיכרון שלנו ומקשות על המחשב שלנו לעבוד בצורה מהירה זיכרון כשהוא מלא שתופסים הרבה מהזיכרון המחשב שלנו עובד לאט יותר תזכרו את זה 
עומר טייכר | מדריך וטכנאי מחשבים: (58:06) : אז אם יש תוכנה 
עומר טייכר | מדריך וטכנאי מחשבים: (58:08) : איך בודקים כמה יש לנו בתוכנת ספסי שהראיתי הראיתי מקודם את התוכנת ספסי אפשר להיכנס אליה ואני אשלח את זה במייל הסיכום איך מורידים את תוכנת ספסי 
עומר טייכר | מדריך וטכנאי מחשבים: (58:19) : ועכשיו אם יש לכם תוכנה שאתם יודעים שאתם לא צריכים 
עומר טייכר | מדריך וטכנאי מחשבים: (58:24) : שאתם לא משתמשים בה ואתם רואים שהיא עולה במחשב שלכם אתם יכולים לבטל אותה 
עומר טייכר | מדריך וטכנאי מחשבים: (58:28) : הפיך אם אתם רוצים אחרי זה להחזיר אותה אתם יכולים להחזיר אותה לפעולה אין מה להימנע מלבטל את הפעולה שלה זה לא כמו תוכנות שאחרי זה יכול להיות שיש כל מיני קבצים של המשתמש שאתם עובדים איתם ואחרי זה אם תמחקו תוכנה זה יכול לפגוע במחשב תוכנות הפעלה 
עומר טייכר | מדריך וטכנאי מחשבים: (58:50) : זה לא משהו שאתם תפגעו במחשב אם אתם תורידו ואתם תשימו לב איך המחשב שלכם יעבוד מהר יותר, זה דברים, זה קסם הדבר הזה. 
עומר טייכר | מדריך וטכנאי מחשבים: (59:03) : הדבר הבא שאני רוצה להראות לכם שיכול להאיץ את המחשב שלכם, יש פה עוד משהו שאתי רוצה להראות לכם, יש פה עוד שני דברים שאתי רוצה להראות לכם. הראשון זה מעדכן מנהלי התקדים, לא לגעת בזה, 
עומר טייכר | מדריך וטכנאי מחשבים: (59:21) : לא לגעת בזה. 
עומר טייכר | מדריך וטכנאי מחשבים: (59:24) : בתוכנה החינמית זה גם לא עובד, זה רק מראה לכם מה צריך לעדכן, אבל לא עובד באמת, אתם יכולים לסמן, ורשום לכם, אתם צריכים לשדרג, וגם אם אתם משלמים כסף, אל תעשו את זה, זה יכול לפגוע במחשב בצורות קטלניות, שאי אפשר אחרי זה להחזיר אותו לאחור, תאמינו לי, מניסיון רב, ויש לכם מעדכן תוכנה, זה דווקא כן נחמד, אתם יכולים לראות, אני אדבר על זה בסוף מיכל. אתם יכולים לראות מה התוכנות. 
עומר טייכר | מדריך וטכנאי מחשבים: (1:00:00) : שזקוקות לעדכון. 
עומר טייכר | מדריך וטכנאי מחשבים: (1:00:06) : תכף אנחנו נסיים לזה, אנחנו ניתן לזה לסיים, לסרוק את המחשב. אני רואה שלוקח לו זמן, בוא ננסה שוב. 
עומר טייכר | מדריך וטכנאי מחשבים: (1:00:20) : תגידו, החליט להצבן, טוב אני ננסה שוב, כי אני רוצה להראות לכם את זה, 
עומר טייכר | מדריך וטכנאי מחשבים: (1:00:26) : בוא נראה אם הוא, אוקיי. תגידי שתוכנה שנקראת, התוכנות שלהם מעודכנות אתם יכולים להניח אבל נניח שיש לכם תוכנה, אתם יכולים לראות אם יש תוכנה כמו זום או 
עומר טייכר | מדריך וטכנאי מחשבים: (1:00:38) : אם האופיס שלכם זקוק להידכון או 
עומר טייכר | מדריך וטכנאי מחשבים: (1:00:43) : אם הדפדפנים שלכם זקוקים להידכון חרום או אג' או כל דבר שאתם עובדים. כל תוכנה במחשב שזקוקה להידכון אתם תראו פה אוקיי? עכשיו אם יש לכם תוכנה חינמית אתם לא יכולים להדכן 
עומר טייכר | מדריך וטכנאי מחשבים: (1:00:55) : רק בתוכנת פרו אם אתם משלמים. לא ממליץ לשלם על זה אוקיי אין פה איזה פונקציות יותר מיני ברומו של עולם 
עומר טייכר | מדריך וטכנאי מחשבים: (1:01:05) : שצריך לשדרג אבל אם אתם רואים תוכנת אתם יכולים להיכנס לתוכנה עצמה ולהתקן אותה דרך התוכנה לא צריך לשלם בשביל זה כאן בתוכנות יש לכם 
עומר טייכר | מדריך וטכנאי מחשבים: (1:01:16) : 2-3 תוכנות אפשר להתקן את זה דרך התוכנה הדבר הבא שאני רוצה להראות, כל הנושא הזה של מחשב איתי הוא מאוד מאוד קריטי, אז זה עוד משהו שאני רוצה להראות לכם. אם אתם נכנסים לחרום ויש לכם נגיד 8 ג'יגה זיכרון ויש לכם הרבה טאבים פתוחים זה מעיד שאתם צריכים להתחיל לסגור טאבים, למה? להרבה מאוד אנשים יש את התחושה שאם למשל פתוחה תוכנה אחת שזה הדפדפן ויש להם הרבה טאבים פתוחים, זה בסדר, למה? כי זה עוד תוכנה אחת אבל לא כל טאב הוא תופס מקום נפרד בזיכרון שלנו, כשיש לנו הרבה טאבים זה תופס המון המון מהזיכרון לדווח קצר שלנו, הרם. במיוחד אם יש לנו 8 ג'יגה, במיוחד. זה מעט מאוד זיכרון בשביל לעבוד עם הרבה טאבים. 
עומר טייכר | מדריך וטכנאי מחשבים: (1:02:11) : ולפעמים גם אנשים מתבלבלים בין מחשב איטי לאינטרנט איטי. אחד מהדברים שיכולים להאט לנו את האינטרנט זה התוספים. אם אני אלך ל... אם אני ללחץ על הכפתור הזה, ואז לניחול תוספים. אני יכול לראות את כל התוספים שיושבים לי בדפדפן. 
עומר טייכר | מדריך וטכנאי מחשבים: (1:02:28) : אם יש תוסף שאתם לא מזהים, שאתם לא יודעים מה זה, אתם יכולים לראות על עשרה. שוב זה הפיך. אפשר להתקין את התוסף הזה מחדש. זה לא סוף העולם אם אתם אוכלים משהו 
עומר טייכר | מדריך וטכנאי מחשבים: (1:02:41) : שאתם צריכים. 
עומר טייכר | מדריך וטכנאי מחשבים: (1:02:45) : סיימתי את הקטע האומנותי של ההרצאה. 45 דקות, זה יפה. 
עומר טייכר | מדריך וטכנאי מחשבים: (1:02:53) : אני רוצה לדבר קצת, שואלים אותי הרבה עם ההרצאה המוקלטת, אז אני רוצה להגיד לכם איך מקבלים את ההרצאה, כי אני רוצה להצליח לכם לזה 
עומר טייכר | מדריך וטכנאי מחשבים: (1:03:01) : להניע אתכם לפעולה, אוקיי? 
עומר טייכר | מדריך וטכנאי מחשבים: (1:03:05) : יש לכם שתי דרכים פשוטות לקבל את ההרצאה, אם אתם רוצים את ההרצאה כמובן, לא חובה. ההפשוט הראשונה זה דרך האתר שלי, יש לי אתר חדש, יפה מאוד, שנקרא omer.tips, 
עומר טייכר | מדריך וטכנאי מחשבים: (1:03:20) : אתם מחכים למייל הסיום? בתוך המייל יופיע קישור, בתוך המייל יופיע קישור לרכישת ההרצאה המוקלטת, למי שמשתתף בהרצאה, במקום 47 שקלים שאני מוכר את כל ההרצאות שלי, ב-27 שקלים. 
עומר טייכר | מדריך וטכנאי מחשבים: (1:03:35) : הצפייה זמינה מיד לאחר הרכישה, ברי שמבצעים את התשלום מקבלים מי נוסף עם הקישור להרצאה, אתם תוכלו לצפות בה בזמן שלכם. המחיר בתוקף עד... מחר בערב, זאת אומרת ממחר בערב זה חוזר ל-47 שקלים, אבל יש פה טריק, 
עומר טייכר | מדריך וטכנאי מחשבים: (1:03:57) : אני עשיתי אפליקציה, אני בניתי אפליקציה שנקראת 
עומר טייכר | מדריך וטכנאי מחשבים: (1:04:02) : לומדים משחקים זוכים, בכל יום חמישי הולך עידון חדש עם פרסים, זה נמצא בתוך האתר שלי, תוכלו להגיע לזה ואני גם אשלח לכם את זה במייל הסיכום, קוראים את הטיפים שלי, אני מפרסם כמעט כל יום טיפ חדש, 
עומר טייכר | מדריך וטכנאי מחשבים: (1:04:18) : עונים על 80 אחוז, במקרה שיש 10 זה 8 מתוך 10, ומגבשים, במקום נגישה להרצאה ב-7 שקלים. למה זה טריקי? כי אם אתם לא מצליחים לענות על 8 מתוך 10, אתם צריכו, אם אתם רוצים לצרות את ההרצאה, זה יהיה 47 שקלים. כי המתנה כבר נגמרת מחר ביירב או. על ההחלטתכם. 
עומר טייכר | מדריך וטכנאי מחשבים: (1:04:40) : אז בעצם אתם יכולים לענות על האחידון בכל יום חמישי, וכל שבוע אני נותן מתנה. פרס למישור נעל שמונה מתוך עשר 
עומר טייכר | מדריך וטכנאי מחשבים: (1:04:50) : הפרס החודשי, אני נותן בעצם שתי סוגים של מתנות, פרס חודשי ופרס שבוי. פרס שבוי זה הישגי, זה יתה ביחס לעצמכם, אתם עונים מעל 80% מהשאלות, זה לא שאלות פשוטות. רק אם אתם קוראים את הפוסטים שלי אתם תהיו בכיים, לא בטוח שתצריכו כל כך בקלות לפתור שוונה מתוך עשר, תאמינו לי. הפרס החודשי החודש זה שוב 40 בשובי 150 שקל. השחקה שהגיעה להישגים הכי גבוהים במהלך החודש, כל חודש אני אתן פרס אחר, יסכה בפרס של שובר ביימי ישירות לאימייל שלו, למימוש חופשי במאות חנויות, מסעדות וחוויות. ההרצאה הבאה שלי, 
עומר טייכר | מדריך וטכנאי מחשבים: (1:05:33) : זה משהו פה מציק לי, 
עומר טייכר | מדריך וטכנאי מחשבים: (1:05:37) : מיומנו של טכנאי מחשבים פרק 2, דברים שרציתם לדעת על המחשב שלכם, זה יהיה ב-23 בנובמבר 2025. מה מחכה לנו בפרק הבא? רוני, המן שלו אומר תקנה חדש, אבל הוא לא מבטא כל כך מהר. נגלה איך לבדוק לבד מה יש לנו במחשב ומה כדאי לשדרג. נועה, באמצע פגישה בזום, האינטרנט שוב נופל. נראה איך אפשר סוף סוף לקבל קליטה יציבה בבית. דורית, מנסה להדפיס חוזה חשוב, המטפסת שוב לא מחוברת. נבין איך לזהות אם אתה קלה במטפסת או בכלל במקום. אחרון נלמד איך לבדוק את המחשב 
עומר טייכר | מדריך וטכנאי מחשבים: (1:06:18) : עם ספסי אני אראה לכם יותר לעומק בפרק הבא אני אתמקד על ספסי לא כמו היום אני ממש אנחנו נעבור נושא נושא בספסי אני אסביר לכם איך יודעים מה כדאי לשדרג איך לא אנחנו נבין איך רשת מש פותרת אינטרנט מכרתיה 
עומר טייכר | מדריך וטכנאי מחשבים: (1:06:36) : זאת הרצאה מרתקת אני ממליץ לכולכם להירשם נפתור בעיות מטפסת במספר בדיקות פשוטות נגלך להעריך את חיי הסוללה בלי לקנות חדשה, ונקנך בטיפים לתחזוקה, ניקוי אבק והחלטות חכמות לפני קנייה. איך אני יכול עוד לעזור עליכם? אני מתקן למחשבים, כל דבר שקשור למחשב אני מתקן, תפנו אליי. אני מאוד מאוד אוהב לשמור על נתונים, בעיקר בגיבויים בענן, איחסון בענן, סנכון בענן, כל מה שקשור לענן, 
עומר טייכר | מדריך וטכנאי מחשבים: (1:07:08) : כל מה שקשור לסיסמאות. שחזור חשבונות, אני מסוגל לשחזר חשבונות שלא הייתם מאמינים שאפשר לשחזר, אוקיי? כאילו אני ממש מומחה בדברים האלה, וההגדרה של לימוד דו שלבי, 
עומר טייכר | מדריך וטכנאי מחשבים: (1:07:20) : אני עושה הדרכות אישיות, אתם מגיעים עם נושאים שאתם רוצים לדעת, אני מדריך אתכם 
עומר טייכר | מדריך וטכנאי מחשבים: (1:07:27) : בצורה ממוקדת, אני מאוד מאמין בדיוק, במיקוד, לא צריכים לדעת הכל, לא צריכים מחשבים, לא צריך כל מחשב, לא צריך לדעת הכל בצורה מדויקת. 
עומר טייכר | מדריך וטכנאי מחשבים: (1:07:37) : אם אתם רוצים להמשיך לקבל טיפים, הקלטות ותזכורות, יש לי קבוצה, הכל יהיה במייל סיכום, הכל הכל הכל הכל הכל, זה נקראת מיומנו של טכנאי מחשבים, אני נותן כל יום טיפ, כל יום, כל יומיים, זה קבוצה שקטה, אין חפירות, אין שום דבר, ואתם מוזמנים ליצור איתי קשר, הטלפון יהיה גם במייל הסיכום, וזהו, תודה שהקשבתם, עכשיו אני אענה לשאלות שלכם, אני אעשה Stop Share אני אסיים את ההקלטה רגע 
עומר טייכר | מדריך וטכנאי מחשבים: (1:08:08) : אני אצא ממצב ספוטלייט, 
עומר טייכר | מדריך וטכנאי מחשבים: (1:08:13) : רגע, 
עומר טייכר | מדריך וטכנאי מחשבים: (1:08:15) : אוקיי, עכשיו אני רואה את כולכם, אני אפשר לכם לצאת ממיעוט, למרות שאתם לא תצוקר את הממיעוט, 
עומר טייכר | מדריך וטכנאי מחשבים: (1:08:22) : אני לא אציע אתכם עדיין ממיעוט, אני קודם כל רוצה, אני קודם כל רוצה לענות על השאלות, שכתבתם בצ'אט, זה לא פחות חשוב לי, מאשר לענות על השאלות שלכם עכשיו בלייב, בואו נראה, 
עומר טייכר | מדריך וטכנאי מחשבים: (1:08:36) : רשמתם... 
עומר טייכר | מדריך וטכנאי מחשבים: (1:08:40) : בסמארטפון הוא מציג קבצים כפולים וקבצים גדולים לא בסמארטפון הוא לא מציג סמארטפון זה עובד אחרת ממחשב. 
עומר טייכר | מדריך וטכנאי מחשבים: (1:08:50) : אין יותר מדי שאלות אוקיי עכשיו אני אוציא אתכם ממיעוט 
עומר טייכר | מדריך וטכנאי מחשבים: (1:08:56) : בוא נראה אני נותן לכם לשאול אותי שאלות עד שהזום יזרוק אותנו זורק אותנו עוד חמישים דקות ארבעים דקות רגע 
עומר טייכר | מדריך וטכנאי מחשבים: (1:09:06) : אוקיי עכשיו אתם בעצם יכולים לצאת ממיעוט. כל פעם מישהו ישאל שאלה אחת, אוקיי? לא להציב בשאלות, שאלה אחת. מי הבן אדם הראשון שרוצה לשאול שאלה? אתם יכולים לשאול שאלה בכל נושא דרך אגב, אתם יכולים לשאול שאלה להרצאה, או שאלה בכל נושא אחר, אני אענה על כל שאלה שלכם. 
עומר טייכר | מדריך וטכנאי מחשבים: (1:09:28) : אתם יפים ושתוקים? 
עומר טייכר | מדריך וטכנאי מחשבים: (1:09:31) : תתחילו לשאול שאלות אין חיה כזאת שאין שאלות 
עומר טייכר | מדריך וטכנאי מחשבים: (1:09:41) : אולי לא אפשרתי לכם לצאת? שלום. השלום. 
AD: (1:09:46) : אני שאלתי גם בצ'אט אם אני מחפש טקסט מסוים אני גם יכול להשתמש בeverything זאת אומרת שהיא ימצא לי באיזה קובץ טקסט מסוים ישנו לא 
עומר טייכר | מדריך וטכנאי מחשבים: (1:09:55) : לא לא everything מחפש רק בשם של הקובץ הוא לא מחפש בתוך הקובץ עצמו בגלל זה הוא מאפשר את המהירות האדירה שלו 
AD: (1:10:03) : פעם היה לגוגל את 
AD: (1:10:07) : גוגל דסקטופ אבל זה כבר לא קיים אני מבין 
עומר טייכר | מדריך וטכנאי מחשבים: (1:10:11) : יש את Drive for Desktop לגיבוי בענן, אבל הוא מוצא קבצים בתוך הענן של גוגל, הוא לא מוצא קבצים במחשב. אתה מתכוון לחיפוש במחשב? לא, זה לא קיים, אבל לא. זה החיפוש היחיד שהוא המהיר במחשב. אפשר לחפש בווינדוס בתוך הקובץ, אבל זה לוקח הרבה זמן. רוב האנשים אני חושב שיודעים את השמות של הקבצים שלהם פחות או יותר. אני לא חושב ש... 
AD: (1:10:35) : טקסט מסוים 
AD: (1:10:38) : בתוך קובץ. 
עומר טייכר | מדריך וטכנאי מחשבים: (1:10:39) : אני יודע, אני אומר, 
עומר טייכר | מדריך וטכנאי מחשבים: (1:10:42) : זה לא מאפשר, ה-Everfing לא מאפשר לחפש טקסט בתוך קובץ. הבנתי. 
AD: (1:10:47) : ואמרת משהו על חיפוש בענן? 
AD: (1:10:51) : נכון, 
עומר טייכר | מדריך וטכנאי מחשבים: (1:10:51) : אני אומר שאם למשל יש לך ענן של גוגל, 
עומר טייכר | מדריך וטכנאי מחשבים: (1:10:55) : או כל דבר אחר, או של מייקרוסופט של גוגל, אתה יכול למשל להיכנס לענן באינטרנט, או אם אתה רוצה להתקין, 
עומר טייכר | מדריך וטכנאי מחשבים: (1:11:05) : לא זה רק באינטרנט עובד רק באינטרנט אתה נכנס נגיד לגוגל דרייב שזה הענן של גוגל ואתה יכול לחפש שם והוא מחפש גם בתוך הקובץ עצמו 
עומר טייכר | מדריך וטכנאי מחשבים: (1:11:16) : הוא לא מחפש רק 
עומר טייכר | מדריך וטכנאי מחשבים: (1:11:18) : בשם גם בתוך הקובץ בצורה מהירה כי זה גוגל לא נכנס 
AD: (1:11:22) : לגוגל דרייב ושם יש אפשרות חיפוש? 
עומר טייכר | מדריך וטכנאי מחשבים: (1:11:25) : כן לקבצים שאתה מגבה לא לכל הקבצים במחשב 
AD: (1:11:29) : לא אני מדבר על הקבצים בתוך הגוגל דרייב 
עומר טייכר | מדריך וטכנאי מחשבים: (1:11:32) : כן כן כן כן אתה נכנס לגוגל דרייב ואתה שם מחפש את הקבצים שלך ואתה יכול גם לחפש בתוך הקובץ ולקבל תשובות מאוד מאוד מהירות. 
AD: (1:11:41) : אוקיי אני אנסה את זה תודה. אתה 
Ariel Spivak: (1:11:43) : יכול לשאול שאלה? 
עומר טייכר | מדריך וטכנאי מחשבים: (1:11:45) : בטח. 
Ariel Spivak: (1:11:47) : אתה אמרת, המלצת 
Ariel Spivak: (1:11:50) : לפזר את האבק עם מפוח מהבשר. מפוח 
עומר טייכר | מדריך וטכנאי מחשבים: (1:11:55) : אוויר אתה יכול בכל מיני דרכים. אני המלצתי על... 
Ariel Spivak: (1:12:00) : למה לא לשאוב? 
עומר טייכר | מדריך וטכנאי מחשבים: (1:12:02) : לא לא שואב לא עובד שואב לא עובד טוב במחשב הוא לא מנקה את האבק כמו שצריך 
עומר טייכר | מדריך וטכנאי מחשבים: (1:12:09) : במיוחד לא מהמאבד מגוף הקירור הוא לא עובד טוב. אז 
Ariel Spivak: (1:12:13) : מה שאני עושה אני מפזר את האבק בתוך כל. 
עומר טייכר | מדריך וטכנאי מחשבים: (1:12:16) : אתה מוציא אותו למרפסת אני מקווה שיש לך מרפסת או במקום שלא בתוך הבית ושם אתה מפזר את האבק החוצה לא לתוך הבית עדיף לא שלא יהיה חם על האבק בבית. 
Ariel Spivak: (1:12:30) : אני לא דואג מהבית, אני דואג מזה שאני מפזר את האבק לתוך המחשב. 
עומר טייכר | מדריך וטכנאי מחשבים: (1:12:35) : לא, אתה לא מפזר אותו לתוך המחשב, ממש לא. 
Ariel Spivak: (1:12:38) : שאתה, 
