Sofia Kogan: (0:54) : ‫סחר פול, נתניהו אופטימי. ‫סליחה קוד. ‫נתניהו, פתיבי. ‬‬‬
Sofia Kogan: (1:06) : ‫סופיה, מה ‬
עומר טייכר | מדריך וטכנאי מחשבים: (1:06) : קורה? ‫תודה רבה. ‫סופיה, מה קורה? ‬‬
עומר טייכר | מדריך וטכנאי מחשבים: (47:12) : אי אפשר לשחזר את זה ולמה בעצם? כמו שאמרתי לכם מקודם אם זה היה עובר להשפעה אוקיי? אז בעצם זה לא היה מפנה לכם מקום. אז מה שזה עושה, השירות הזה, הוא מוחק את הקבצים האלה לצמיתות. זאת אומרת שבשביל שהמקום שלכם יתנקה, הוא צריך להימחק לצמיתות. זאת אומרת שאם אתם מוחקים קובץ לצמיתות, אין לכם להתקשר לאף אחד, אף אחד לא יוכל לעזור לכם, גם לא מגוגל, אולי מגוגל כן, אבל עדיין לא בטוח, לא שמעתי מישהו שגוגל שיחזרו לו. התמונות שלכם והסרטונים שלכם והאימילים שלכם מחורקים לתמיד, לכן להיות בזהיר עם הדבר הזה. ואם אתם לא בטוחים ואתם רוצים לנקות את החשבון, להיעזר באיש מקצוע. 
עומר טייכר | מדריך וטכנאי מחשבים: (48:02) : איזה אפשרויות יש לנו עוד לנקות? 
עומר טייכר | מדריך וטכנאי מחשבים: (48:06) : אימילים עם קבצים גדולים נגיד יכול להיות שבאימילים שלנו שלחו לנו כל מיני קבצים גדולים אורכי וידאו, אורכי תמונות או גרפיקאים לא יודע מה שיכולים כל מיני קבצים גדולים לנקות אותם יכולים לראות אותם פה 
עומר טייכר | מדריך וטכנאי מחשבים: (48:24) : איזה אימאלים יש לנו עם קבצים גדולים ולמחוק אותם פשוט מאוד זה שירות כל כך אינטואיטיבי 
עומר טייכר | מדריך וטכנאי מחשבים: (48:35) : ופשוט וקל לניהול שאתם לא צריכים להיות פרופסורים באוניברסיטה 
עומר טייכר | מדריך וטכנאי מחשבים: (48:41) : אתם יכולים לפנות רק 
עומר טייכר | מדריך וטכנאי מחשבים: (48:46) : משירות מסוים למשל גוגל דרייב, לדעת בגוגל דרייב מה גדול, מה תופס לי מקום, או רק בג'י-מייל, או רק בגוגל תמונות. אתם תשחקו עם זה, אתם תבידנו בדיוק איך אתם יכולים לנקות את כל החשבון שלכם. דבר נוסף זה, הגדלת החשבון 
עומר טייכר | מדריך וטכנאי מחשבים: (49:06) : במסך, בקרטיסיית היחסון אתם יכולים לראות שניצלתם הרבה מאוד מקום ואתם צריכים לקנות עוד מקום. תכף אני אראה לכם למה אתם צריכים לקנות עוד מקום, גם אם לא תמיד ניצלתם את כל היחסון כרגע. תכף אני אראה לכם את זה. 
עומר טייכר | מדריך וטכנאי מחשבים: (49:24) : אז הבנו את השירות הזה, שירות מאוד חשוב, שירות מאוד משמעותי, אני מאמין שכולכם 
עומר טייכר | מדריך וטכנאי מחשבים: (49:32) : פה עובדים עם גוגל, כי לא הייתם מצטרפים להרצאה הזאת בלי. אז נסגור את השירות הזה ונעבור לגיבוי האוטומטי בענן שאולי לשם כך התכנסנו היום. אז בשביל לעשות את זה אנחנו צריכים להתקין על המחשב שלנו ואנחנו לא נעשה את זה עכשיו כמובן כי התקנה זה לוקח זמן אז זה כבר מותקן על המחשב שלי אפליקטיה שנקראת drive for desktop אני אראה לכם איך זה נראה, רושמים drive רגע 
עומר טייכר | מדריך וטכנאי מחשבים: (50:07) : drive 
עומר טייכר | מדריך וטכנאי מחשבים: (50:15) : desktop 
עומר טייכר | מדריך וטכנאי מחשבים: (50:17) : לוחצים על הכפתור הראשון 
עומר טייכר | מדריך וטכנאי מחשבים: (50:23) : שם 
עומר טייכר | מדריך וטכנאי מחשבים: (50:25) : install for windows 
עומר טייכר | מדריך וטכנאי מחשבים: (50:29) : זה תהליך כזה אבל אתם צריכים לעקוב אני גם בסוף ההרצאה אני שולח מייס סיכום, אני שולח לכם קישור ישיר על הקובץ הזה במקום לעבור את הסאגה הזאת. פעם זה היה בקליק אחד, עכשיו הם מעבירים אתכם שרשרת של דברים שאתם צריכים, לא מבין למה הם עושים את זה. ‫בכל מקרה, אני אשרח לכם ‫קישור ישיר להתקין את האפליקציה הזאת ‫במחשב, אל תסתפכו בזה יותר מדי. ‫אחרי שאני מתקין את ה-Drive for Desk, ‫טוב, ואני מגדיר אותו, הגדרה קצרה, ‫שוב, לא מסובך, מי שמסתבך ‫יכול להיעזר שהוא ביש מקצוע. ‫אני בעצם מגדיר אותו. לפני שאני אגדיר אותו אני אתן טיפ קטן. ‬‬‬‬‬‬‬‬
עומר טייכר | מדריך וטכנאי מחשבים: (51:12) : הרבה פעמים אנשים מתקינים את התוכנה הזאת או שטכנאי מתקין להם את התוכנה הזאת או שהם שמעו שצריך להתקין את התוכנה הזאת הם מתקינים את זה אבל המחשב שלהם לא מגבה שום דבר יש למשל אנשים שמתקשרים אליי ואומרים לי, לא לקוחות שלי, אנשים שמתקשרים לפעם הראשונה, אומרים לי, עומר, 
עומר טייכר | מדריך וטכנאי מחשבים: (51:36) : תשחזר לי את הקבצים מהגוגל דרייב. ואז אני נכנס ורואה שהוא לא מוגדר כמו שצריך ושום קובץ לא גובה. לא היה גיווי של הקבצים. ועכשיו אני אראה לכם איך מגבים את הקבצים שלכם. באפליקציה של הGoogle Drive, שאנחנו פותחים אותו, אנחנו קודם כל רואים קרטיסייה שנקראת פעילות. 
עומר טייכר | מדריך וטכנאי מחשבים: (51:59) : בלשונית, קרטיסייה הזאת, יכולים לראות את כל מה שעולה לענן ואת כל מה שיורד מהענן שלנו בגוגל. 
עומר טייכר | מדריך וטכנאי מחשבים: (52:08) : לא נתייחס על זה כרגע. לא מעניין. מה שכן חשוב שלמטה יהיה רשום כל הקבצים שלכם מעודכנים. אני אגדיל את זה. אה יש לי זכוכית מגדלת. אני אגדיל את זה. כל הקבצים שלכם מעודכנים. 
עומר טייכר | מדריך וטכנאי מחשבים: (52:24) : עכשיו בעצם אני רוצה להראות לכם איך נכנסים להגדרות של האפליקציה מלא פעמים תתעוררו תגידו לי כן לא כן מבינים לא מביני תרשמו איזה שאלה נרדמתם 
עומר טייכר | מדריך וטכנאי מחשבים: (52:39) : אני לא ממשיך עד שהם לא רשווים משהו אני לא ממשיך 
עומר טייכר | מדריך וטכנאי מחשבים: (52:46) : להתעורר להתעורר 
עומר טייכר | מדריך וטכנאי מחשבים: (52:51) : אז כולכם ישנים אני מבין 
עומר טייכר | מדריך וטכנאי מחשבים: (52:57) : אוו יפה מאוד לא נרדמתם הכל ברור זה מצוין אז אני מראה לכם איך נכנסים להגדרות של האפליקציה. 
עומר טייכר | מדריך וטכנאי מחשבים: (53:08) : בצד שמאל למעלה יש לנו גלגל שיניים כשאנחנו לוחצים על הגלגל שיניים הזה אנחנו הולכים להעדפות 
עומר טייכר | מדריך וטכנאי מחשבים: (53:18) : לוחצים על העדפות 
עומר טייכר | מדריך וטכנאי מחשבים: (53:20) : וכאן הוא שוב מראה לי שהחשבון שלי מפוצץ, לא מעניין ופה יש לי את התיקייה, את התיקיות שבהן אני רוצה שיהיה גיבוי אוטומטי ואני אסביר. אם למשל אני רוצה שכמו שהסברתי בהתחלה כל שינוי קטן. איך מגיעים? 
עומר טייכר | מדריך וטכנאי מחשבים: (53:43) : אתה לא מגיע למלבן. איזה מלבן שלי שמגדיל? איזה מלבן? 
עומר טייכר | מדריך וטכנאי מחשבים: (53:50) : לא הבנתי לאיזה מלבן אני רוצה לחזור שזה יהיה ברור איזה מלבן 
עומר טייכר | מדריך וטכנאי מחשבים: (53:56) : יש את הכפתור הקטן של גוגל דרייב לוחצים על זה ושם יש לי 
עומר טייכר | מדריך וטכנאי מחשבים: (54:04) : בצד שמאל למעלה גלגל השיניים שזה בעצם כפתור ההגדרות בכל השירותים של גוגל אנחנו לוחצים על זה ושם לוחצים על כפתור האדפות כשלוחצים על ההדפות מגיעים למסך הזה ובמסך הזה אנחנו בוחרים את התיקיות שאותן אנחנו רוצים לגבות באופן אוטומטי יכולים ללחוץ על הוספת תיקייה ולבחור בהורדות או מסמכים או סרטוני ווידאו או שולחן עבודה או כל תיקייה שנמצאת לנו במחשב אנחנו רוצים לגבות אותה באופן אוטומטי. 
עומר טייכר | מדריך וטכנאי מחשבים: (54:41) : את המגבה בדרייב או באפליקציה? האפליקציה מגבה בגוגל דרייב. האפליקציה היא של גוגל דרייב. זה לא אפליקציה נפרדת חיצונית. היא מגבה את הקבצים בגוגל דרייב באופן אוטומטי. 
עומר טייכר | מדריך וטכנאי מחשבים: (55:00) : האפליקציה הזאת היא של גוגל ולכן שהיא מגבה את הקבצים שלנו הם יהיו מגובים באופן אוטומטי בגוגל דרייב אם אנחנו רוצים למשל ששולחן העבודה שלנו יהיה מגובה באופן אוטומטי אנחנו נבחר את שולחן העבודה ונלחץ על בחירת תקייה וסיום עכשיו 
עומר טייכר | מדריך וטכנאי מחשבים: (55:22) : אני רוצה להסביר לכם משהו חשוב לכם יש כמות מסוימת של מקום 
עומר טייכר | מדריך וטכנאי מחשבים: (55:29) : בענן לדוגמה 15 ג'יגה 
עומר טייכר | מדריך וטכנאי מחשבים: (55:33) : והכל אצלי קטן אבל בוא נגיד שהדסקטופ שלכם אה בוא נראה אולי יש תקיעה גדולה מסמכים נגיד לא יודע כמה היא תופסת 
עומר טייכר | מדריך וטכנאי מחשבים: (55:44) : אוקיי זה לא עובד לי אבל נגיד את צריך להתקין נכון, אתה צריך להתקין Drive for Desktop נכון. זה תהליך התקנה שאני לא עושה פה אבל צריך להתקין, צודק. אני רואה את השמות בקטן אז אם אני מתבלבל בין זכר לרכבה אז סלחו לי. אם אני רוצה לגבות את התקיעה למשל תרגול גיבוי בענן ושולחן עבודה אני צריך לוודא 
עומר טייכר | מדריך וטכנאי מחשבים: (56:09) : שיש לי מספיק מקום בענן של גוגל למשל אם שולחן העבודה שלי יש לי 20 ג'יגה של מידע. יש אנשים שיש להם 100, 50, 20, יש אנשים עם כמויות, לא משנה, כל מיני כמויות, ויש להם רק 15 ג'יגה של מקום, חשבון חינמי. הם לא יוכלו לגבות את הקבצים שלהם כי אין להם מספיק מקום ואז הם יצטרכו לקנות עוד מקום בענן של גוגל ואתם יכולים לראות בצד שמאל כמה מידע יש לכם באותה תקיעה. מה שנשמע האוטומטית בגוגל דרייב אני מכירים, 
עומר טייכר | מדריך וטכנאי מחשבים: (56:52) : מה 
עומר טייכר | מדריך וטכנאי מחשבים: (56:53) : שנשמע אוטומטית בגוגל דרייב אנניים אחרים יש את OneDrive של מייקרוסופט, יש את הדורובוקס אם פועלים במקביל אני לא ממליץ. אם יש לך כמה עננים שפועלים במקביל, דברי איתי או תדבר איתי, זום יוזר, אז אני לא יודע מי זה גבר או אישה, דברי איתי אחרי זה או דבר איתי אחרי זה, אנחנו נבדוק את כל העננים שיש לך. לפעמים כמה עננים מגבים את המחשב וזה לא טוב. 
עומר טייכר | מדריך וטכנאי מחשבים: (57:22) : אז אני אחזור למה שאמרתי, אתם צריכים לוודא שהכמות של המידע שלכם אישה. 
עומר טייכר | מדריך וטכנאי מחשבים: (57:29) : אז דבריתי באופן פרטי אחר זה לבדוק לך את המחשב כי זה באמת אני גם אסביר בסוף את החסרונות שאם פועלים כמה גיבויים בענן זה לא טוב 
עומר טייכר | מדריך וטכנאי מחשבים: (57:43) : אז אם התיקיות שלנו תופסות יותר מקום ממה שיש לנו, אנחנו צריכים להגדיל את היחסון או שאנחנו לא יכולים לגבות את התקיעה הזאת. 
עומר טייכר | מדריך וטכנאי מחשבים: (57:53) : עכשיו אני אראה לכם, שאלתם אותי מקודם אם זה נמחק במחשב, זה נמחק בענן, אם זה לא נמחק, אני אראה לכם בדיוק. לענן של גוגל יש שתי אפשרויות. האפשרות הראשונה נקראת גיבוי, והאפשרות השנייה נקראת צנחון. הרבה מאוד אנשים אומרים, 
עומר טייכר | מדריך וטכנאי מחשבים: (58:16) : שהענן של גוגל רק מסנכן, והוא לא מגבק, כל מיני שטויות, אני אעשה בזה סדר. כשאתם מתקינים את האפליקציה Drive for Desktop, כשאתם נכנסים למחשב זה, למחשב שלי, אתם רואים בעצם קונן וירטואלי 
עומר טייכר | מדריך וטכנאי מחשבים: (58:34) : של המחשב שלכם. 
עומר טייכר | מדריך וטכנאי מחשבים: (58:36) : בקונן הווירטואלי יש לכם תקיעה שנקראת איחסון זה, זה בעצם הקונן של הגיבוי. 
עומר טייכר | מדריך וטכנאי מחשבים: (58:45) : כל קקייה שאתם תעבירו לה כהנן הווירטואלי הזה, הוא יישמר לכם בלי תלות במחשב. זאת אומרת שבעצם זה לא הסינכרון אוטומטי של המחשב, זה לא גיבוי אוטומטי, כי הקבצים האלה לא במחשב, הם נמצאים באננו. זה לא קבצים שאם תמחקו מהמחשב, ימחקו מהאננו. 
עומר טייכר | מדריך וטכנאי מחשבים: (59:06) : לעומת זאת, אני למשל פה מגבה באופן אוטומטי אם אתם לא מבינים משהו אז תגידו לי אני מגבה באופן אוטומטי תקיית שנקראת תרגול גיבוי באנן איפה היא נמצאת? היא נמצאת בתוך תקיעת מסמכים. אתם יכולים לראות פה, תרגול גיבוי בענן. 
עומר טייכר | מדריך וטכנאי מחשבים: (59:26) : אם היא נכנס אליה ומוחק תמונה, אוקיי? מחקתי תמונה מהתקיעה, היא תימחק גם בענן. זה נקרא סינכרון. מה שנמחק בענן נמחק במחשב, מה שנמחק במחשב נמחק בענן. זה סינכרון ביניהם. 
עומר טייכר | מדריך וטכנאי מחשבים: (59:47) : אבל גם מה שנמחק מהמחשב 
עומר טייכר | מדריך וטכנאי מחשבים: (59:50) : נכנס להשפע שלנו אני אראה לכם 
עומר טייכר | מדריך וטכנאי מחשבים: (59:55) : ונשאר שם שלושים יום לכן אתם לא מאבדים את המדע שלכם כל כך בקלות 
עומר טייכר | מדריך וטכנאי מחשבים: (1:00:02) : אתם רואים את ההשפעה 
עומר טייכר | מדריך וטכנאי מחשבים: (1:00:05) : ורואים את התמונה שמחקתי, נשמרת פה למשך 30 יום, גם רשום לכם. 
עומר טייכר | מדריך וטכנאי מחשבים: (1:00:11) : לאומת זאת, כאילו לא לעומת זאת, את כל הקובצים שאתם מגבים באופן אוטומטי מהמחשב שלכם, יש כרטיסייה שנקראת מחשבים 
עומר טייכר | מדריך וטכנאי מחשבים: (1:00:22) : בתוך הענן של גוגל, הגוגל דרייב, באינטרנט מחשבים ושם אתם יכולים לראות את כל הגיבוי שאתם מגבים מהמחשב. 
עומר טייכר | מדריך וטכנאי מחשבים: (1:00:32) : שוב אם לא הבנתם תגידו לי כי זה יכול קצת לבלבל למי שלא מכיר את זה מה ההבדל בין גיבוי לסינכון זה מבלבל לא אם אתם לא בטוחים תגידו לי ואני אחזור זה. אבל התיקייה הזאת הווירטואלית 
עומר טייכר | מדריך וטכנאי מחשבים: (1:00:51) : זה בעצם גיבוי, זה לא קשור למחשב שלי, זה דברים שאני מעלה באופן יזום לענן, והם מגובים והם לא נמחקים במידה ואני מוחק אותם במחשב, הם לא קשורים למחשב שלי. מי שעדיין רוצה לגבות ולא מספיק מבין מה אני אומר, כי זה יכול לבלבל אם זה לא, שזה על קצה המזלג, זה יכול לבלבל. 
עומר טייכר | מדריך וטכנאי מחשבים: (1:01:15) : אז אני אסביר לו באופן פרטי, גם אם זה לא יהיה כך הרבה זמן. בכל מקרה, זה מאוד מאוד חשוב שתעשו את הגיבויים האלה ותבינו מה קורה שם. כי הגיבויים האלה זה הדבר הכי חשוב שאתם עושים במחשב שלכם, שלא יהיה לכם שום טעות. אני רואה כל שבוע אנשים שמאבדים את המידע שלהם, ואחרי זה הם צריכים או הם מקבלים איזה שלח המידע, או שהם לוקחים את זה לחברות שיחזור, וזה עולה הרבה כסף. אז בואו, אל תזליחו את הדברים האלה. 
עומר טייכר | מדריך וטכנאי מחשבים: (1:01:48) : לא צריכתי להבין, זה מיועד רק למחשב נכון, אם יש לי גיבוי בקונן חיצוני בוודאי נכון, כמו שאמרתי גיבוי בקונן חיצוני אם גיבית אתמול והיום עשית שינוי בקובץ 
עומר טייכר | מדריך וטכנאי מחשבים: (1:02:04) : ועבדת 
עומר טייכר | מדריך וטכנאי מחשבים: (1:02:05) : על זה הרבה זמן, הגיבוי בדיסק כבר לא רלוונטי, הוא ישן, הוא מעטמול, ואתה עשית שינוי היום, ואם המחשב קרה לו משהו וקרס, אין גיבוי של היום, אבל הגיבוי בענן מגבה באופן מיידי 
עומר טייכר | מדריך וטכנאי מחשבים: (1:02:23) : ותמיד המידע הוא עדכני 
עומר טייכר | מדריך וטכנאי מחשבים: (1:02:26) : אז זה בעצם היה איך מבצעים גיבוי אוטומטי נכון 
עומר טייכר | מדריך וטכנאי מחשבים: (1:02:31) : ואיך מפנים מקום עכשיו אני רוצה לתת לכם שני טיפים הטיפ הראשון זה איך משתפים קובץ בצורה מהעירה מהענן שלכם 
עומר טייכר | מדריך וטכנאי מחשבים: (1:02:43) : נניח אתם רוצים לשתף עם חבר שלכם קובץ מהמחשב שלכם שאתם מגבים באופן שוטף, באנן מולי מאוד שאלו אותי, אפשר לעשות את זה גם בנייד. בנייד לא, אתה מתכוון בטלפון על הנייד. בנייד לא, מתכוונת סליחה. בנייד לא, בנייד זה מגבה רק את התמונות, אי אפשר לעשות. יש אפליקציות חיצוניות, יש אפליקציות מיוחדות שעולות כסף, שעושות את זה גם בטלפון ליד, אבל אנחנו לא נכנסים לזה כרגע, כי זה לא חלק 
עומר טייכר | מדריך וטכנאי מחשבים: (1:03:16) : מההרצאה, אבל באופן עקרוני אם את משלמת כסף, את כן יכולה לעשות את זה. אבל זה כמה שקלים בנייד. 
עומר טייכר | מדריך וטכנאי מחשבים: (1:03:27) : האפליקציה הרשמית של גוגל לא עושה את זה. היא לא עושה את זה בניית חוץ מתמונות, היא עושה רק אם קונים אפליקציה חיצונית. 
עומר טייכר | מדריך וטכנאי מחשבים: (1:03:39) : אז אני רוצה להראות לכם איך משתפים בקלות. אתם יכולים לראות כמו שהסברתי מקודם שיש תקייה תרגול גיבוי בנה שאני מגבר באופן אוטומטי לענן שלי. זה תקייה שאני מגבר באופן אוטומטי ולמשל יש פה בוא נראה, בוא נראה משהו בשיפוט שעשיתי של המטבח. אני רוצה לשתף תמונה מסוימת עם חבר. אני יכול ללחוץ על הקובץ הזה אתם יכולים לראות כל מה שמסתנכרן כל מה שמגובה בגוגל דרייב הוא מסומן ב v ככה שאם פתאום יש לכם v אז תדעו שזה גוגל דרייב זה לא פתאום משהו אחר זה וירוס זה מישהו שתתלכם על המחשב כפתור ימני על הקובץ שאנחנו רוצים לשתף אנחנו לוחצים בווינדוס 11 אנחנו לוחצים על הצג אפשרויות נוספות, בווינדוס 10 זה יופיע ברשימה הראשונית הצג אפשרויות נוספות ו שיתוף עם גוגל דרייבו 
עומר טייכר | מדריך וטכנאי מחשבים: (1:04:35) : שם אנחנו נוכל לראות שאנחנו יכולים לשתף באופן אוטומטי 
עומר טייכר | מדריך וטכנאי מחשבים: (1:04:40) : את התמונה או את כל קובץ במקום גישה מוגבלת אנחנו נשנה את זה אתם יכולים ללכת אלה לעבור את זה בסרטון שאני מעלה ליוטיוב הכל טוב כל מי שקיבל את הכישור אנחנו לוחצים על ההעתקת כישור שולחים את זה בוואטסאפ או בכל באימייל או בכל דרכת הכישור הזה לבן אדם שאנחנו רוצים ואני 
עומר טייכר | מדריך וטכנאי מחשבים: (1:05:02) : אבטל את זה הוא לא רוצה 
עומר טייכר | מדריך וטכנאי מחשבים: (1:05:10) : והוא יכול לראות את 
עומר טייכר | מדריך וטכנאי מחשבים: (1:05:14) : הקובץ שלנו 
עומר טייכר | מדריך וטכנאי מחשבים: (1:05:16) : אם לא הבנתם תצפו אחרי זה ביוטיוב אתם תבינו דבר נוסף שאני רוצה להראות לכם דבר מאוד מאוד חשוב 
עומר טייכר | מדריך וטכנאי מחשבים: (1:05:27) : טיפ שני עבודה בטלפון הנייד 
עומר טייכר | מדריך וטכנאי מחשבים: (1:05:31) : אז בטלפון הנייד זה נראה ככה זה הטלפון הנייד שלי, זה הטלפון של עד רחות, יש לי בעצם את האפליקציה גוגל דרייב ששאלת אותי אם זה גם בנייד, יש פה טלפון אפליקציה שנקראת גוגל דרייב ושם אני יכול לראות, בוא נראה פה, נננה, יפה. בוא, באפליקציה אני יכול לראות תחת קבצים, את הקבצים שאני מגבב באופן יזום, אוקיי? שנמצאים גם בתקיעה הזאת במחשב, 
עומר טייכר | מדריך וטכנאי מחשבים: (1:06:02) : ביחסון שלי. 
עומר טייכר | מדריך וטכנאי מחשבים: (1:06:05) : וזה הקבצים שאני מעלה באופן יזום, זה לא הגיבוי האוטומטי אוקיי אבל גם את הגיבוי האוטומטי תחת כרטיסיית מחשבים יש לי את המחשב שלי ואת התיקייה שאני מגבר באופן אוטומטי תרגול גיבוי בענן ואז בעצם אני יכול להיכנס לכבצים האלה ולעבוד בהם גם בטלפון 
עומר טייכר | מדריך וטכנאי מחשבים: (1:06:26) : פה בטלפון אין לי את האפליקציה הזאת שמגבר באופן אוטומטי 
עומר טייכר | מדריך וטכנאי מחשבים: (1:06:30) : כי אני לא נכנס לזה בהרצאה אבל אפשר להוריד אותה אני אשלח לך את זה אחריה בסוף, ואפשר לגבות תיקייה מסוימת מהניידו. 
עומר טייכר | מדריך וטכנאי מחשבים: (1:06:44) : אז סיימנו להיום את הדבר הזה. 
עומר טייכר | מדריך וטכנאי מחשבים: (1:06:49) : אתם מוזמנים להיכנס להרצאות הבאות שלי, המרתקות 
עומר טייכר | מדריך וטכנאי מחשבים: (1:06:52) : ביום ראשון ב-23 במרץ בשעה 6. אני עושה הרצאה שעשיתי לפני שהתחילו לי כאבה גם לפני ארבעה חודשים, שאני קורא להרצאה, זה אמור להיות טרילוגיה מיומנו של טכניים מחשבים 1, 2 ו3, 
עומר טייכר | מדריך וטכנאי מחשבים: (1:07:09) : בחודש הבא, בצף החודש שיהיה הפרק הראשון, 
עומר טייכר | מדריך וטכנאי מחשבים: (1:07:12) : אני מלמד על מספר כלים שיעשו לכם את החיים הרבה יותר קלים. זה הרצאה מרתקת עם דוגמאות וסרטונים וכל מיני טכניקות מהבינה המלאכותית. מי שלא נכנס מפספס. 
עומר טייכר | מדריך וטכנאי מחשבים: (1:07:26) : ההרצאה השנייה היא בעוד חודשיים, זה הפרק השני. דברים שרציתם לדעת על המחשב שלכם. אני אמרה לכם כמה תוכנות שאתם יכולים לראות חינמיות כמובן כל מה שקורה בתוך המחשב שלכם גם בלי לפתוח אותו כי כרגע אתם לא יודעים בדיוק מה קורה בפנים בלי לפתוח אני מלמד אתכם איך לדעת את זה. זה יהיה ביום ראשון, ה-27 באפריל, ואת החלק השלישי עוד לא סיימתי. רציתי לסיים בפני שהתחלתי עם הכאבים, אבל לא הספקתי, אבל אני אעשה אותו ב-מאיו. איך אני יכול לעזור לכם? אני בעצם נותן שירותים של תיקון, הגדרות גיבוי בענן למי שזקוק. 
עומר טייכר | מדריך וטכנאי מחשבים: (1:08:08) : אני עוזר בניהול סיסמאות מי שמסתבך עם הסיסמאות שלו, ולא 
עומר טייכר | מדריך וטכנאי מחשבים: (1:08:15) : יודע איך להגדיר סיסמאות נכונות. מי שנתקע מחוץ לחשבון ורוצה לשחזר חשבונות, וקשה לו, אני עוזר, יש לי כל מיני טריקים ודרכים וטכניקות לעשות את זה גם שאתם לא מצליחים. 
עומר טייכר | מדריך וטכנאי מחשבים: (1:08:27) : ואם אתם רוצים להגדיר עימוד ושלבי כמו בגוגל, בכל מיני אתרים, פייסבוק, אינסטגרם, 
עומר טייכר | מדריך וטכנאי מחשבים: (1:08:33) : כל אתרים האלה נותנים עימוד ושלבי, אני עוזר לעשות את זה. מי שרוצה הדרכות, אני עושה הדרכות בהטעמה אישית, לא עכשיו ימים של למידה, שעות של למידה, אתם נותנים לי נושא מסוים שאתם רוצים ללמוד, יש לי ידע עצום, אני מלמד אתכם בדיוק צד אחרי צד את כל מה שאתם רוצים ללמוד על אותו נושא, ועושים את זה בצורה פשוטה יותר. לכל משתפי הסדנה, 
עומר טייכר | מדריך וטכנאי מחשבים: (1:09:00) : עד סוף החודש אני נותן 10% על כל שירותי המחשב שאני נותן ואני עושה בדיקה מהירה של מי שיש לו אי טיעוד במחשב או שרוצה שהמחשב שלו יעבוד יותר מהר ללא עלות. אני עושה את זה בכמה דקות ואני יכול לאתר לכם בדיוק מה הבעיה במחשב. אתם מוזמנים? בואו נראה. עומר, ההרצאה מעניינת. תודה, ניפגש בהרצאות הבאה. אז עכשיו אני מראה. הנה, 
עומר טייכר | מדריך וטכנאי מחשבים: (1:09:24) : בדיוק בזמן. איך יוצרים איתי קשר? יש לי טלפון, אפשר לשלוח לי וואטסאפ 0526 
עומר טייכר | מדריך וטכנאי מחשבים: (1:09:32) : 587 420. אני גם אשתח לכם את זה במייל הסיום את כל הפרטים תקבלו את זה עוד מעט תודה שהקשבתם עכשיו אני יוצא מה זה 
עומר טייכר | מדריך וטכנאי מחשבים: (1:09:46) : מהשיתוף 
עומר טייכר | מדריך וטכנאי מחשבים: (1:09:50) : רגע בעצם עכשיו אנחנו עוברים לחלק של השאלות. יש לכם זמן. 
עומר טייכר | מדריך וטכנאי מחשבים: (1:09:58) : 45 דקות. לשאול אותי כל מה שאתם רוצים. לא רק על ההרצאה, בכל תחום של המחשבים, בכל תקלה שיש לכם. אני אתן לכם לצאת מהמיעוט. רגע. שנייה, שנייה, שנייה. אני יודע שאתם רוצים. אני יודע שאתם רוצים. 
עומר טייכר | מדריך וטכנאי מחשבים: (1:10:13) : רגע. עכשיו אתם יכולים לצאת מהמיעוט ואתם יכולים לשאול אילו שאלות בוא נראה, כתבתם משהו בצ'אקט למה זה?... אה. אה. אה. אה אוקיי. אוקיי. אוקיי... אז אני אסביר עכשיו למה זה לא טוב קום העננים אוקיי. אוקיי מה שקורה זה ככה כשאתם מעלים המידע לענן אוקיי שאתם מעלים את הקבצים שלכם לענן מהירות האינטרנט יורדת למה? כי בעצם האינטרנט מורכב 
עומר טייכר | מדריך וטכנאי מחשבים: (1:11:00) : באופן אוטומטי המהירות שלו טיפה יורדת. אבל כשאתם מגבלים לקרוא במקביל, המהירות של אינטרנט שלכם ממש יורדת משמעותית. 
עומר טייכר | מדריך וטכנאי מחשבים: (1:11:10) : ואם למשל, 
עומר טייכר | מדריך וטכנאי מחשבים: (1:11:13) : את לא רואה ירידה מאוד גדולה, זה אומר שהאינטרנט שלך מאוד מהירים, הוא היה טיפה יותר איתי, הייתי חובה שהאינטרנט שלך כמעט מפסיק לעבוד בצורה טובה. וזה גם לא פרקטי, חוץ מזה שזה לא נכון לאינטרנט 
עומר טייכר | מדריך וטכנאי מחשבים: (1:11:28) : לעבוד עם כמה אנשים, זה גם לא פרקטי. כי לגבות בכמה מקומות, אין בזה שום מגעיון, כי 
עומר טייכר | מדריך וטכנאי מחשבים: (1:11:36) : אף חברה לא תקרוס, כאילו אין בזה שום, כאילו גם את רוצה לגשת למידע שלך אחרי זה, לאיזה קוננטיק שיא, לוואן דרייב, 
עומר טייכר | מדריך וטכנאי מחשבים: (1:11:47) : לגוגל דרייב, 
עומר טייכר | מדריך וטכנאי מחשבים: (1:11:49) : לדרופוקס, כאילו אין בזה גיון, אין בזה סדר, אין בזה ארגון, חוץ מזה שזה לא טוב לאינטרנט, אין בזה גם ארגון. ובשביל לעבוד בצורה נכונה צריך ארגון, סדר, ושהאינטרנט תהיה מהיר. אני מקווה שהבערתי את זה, אם לא הבערתי את זה, אני יכול להסביר את זה גם באופן פרטי. 
עומר טייכר | מדריך וטכנאי מחשבים: (1:12:07) : אם יש עוד שאלות, אני אשמח לענות. אם לא הבנת, אז אני מוכן להסביר שוב, תגידי לי אם הבנת או לא הבנת. 
