עומר טייכר | מדריך וטכנאי מחשבים: (20:04) : אני כבר שם אתכם במיוט אני מתחיל להודקה אני משתיק אתכם 
עומר טייכר | מדריך וטכנאי מחשבים: (45:36) : לא יודע מה לחצתי, אבל המייל נעלם לי. לפעמים זה נכנס לארכיון, לפעמים לספם, לפעמים פשוט נעלם. למה? כי הכפתורים בג'ימייל נראים כמו סמלים לא ברורים. עיגול עם חץ, קובייה עם חץ, סימן קריאה, פח. וכשלא יודעים מה זה פשוט לוחצים ומגלים לפעמים מאוחר מדי. אז גיליתי את זה. הגדרה נסתרת. שמשנה את הכפתורים האלה לכפתורים עם טקסט ברור, לא ציור, לא ניחוש, כתוב, מחק, עבר לארכיון, ספם, מאז הרבה פחות בלבול, והרבה פחות משפטים כמו המייל, פשוט נעלם לי. ושנעבור נראה את השאלה, אם רוצים לתזמן מייל שנשח לקבוצת אנשים, אבל לתזמן ספציפית, הזמון שונה לכל אחד מהנימנים ולא לכולם, נענה על זה בסוף. נענה על דברים כאלה בסוף. 
עומר טייכר | מדריך וטכנאי מחשבים: (46:42) : אז בעצם אני רוצה לשאול אתכם שאלה, 
עומר טייכר | מדריך וטכנאי מחשבים: (46:46) : מי פה מכיר את הסמל הזה בג'ימל ויודע מה הוא עושה? נתן לכם כמה שניות, תרשמו לי בצ'אט, מי יודע מה הסמל הזה? 
עומר טייכר | מדריך וטכנאי מחשבים: (46:57) : תכתבו, אל תתביישו. ארכיון, ארכיון, יפה ארכיון, אתם טובים, כל הכבוד, ארכיון, ארכיון, יפה, יפה, יפה. אוקיי אבל אני רוצה לאתגר אתכם, חכו לא להסתיימנו בזה, קל שאלה קלה, 
עומר טייכר | מדריך וטכנאי מחשבים: (47:14) : אני מאתגר אתכם. שלחתם מייל לארכיון, אבל איפה מוצאים אותו עכשיו? יש לכם דקה לרשום בצ'ט את התשובה, בין הפותרים נכונה, אני מעניק בדיחת הבטחה חינמית למי שיודע. 
עומר טייכר | מדריך וטכנאי מחשבים: (47:30) : כל המיילים אלי, איפה נמצא הארכיון, רחלי זאת לא התשובה, אוקיי, אני נתן לכם עוד דקה תרשמו. איפה נמצא המייל הזה? 
עומר טייכר | מדריך וטכנאי מחשבים: (47:42) : אל תתביישו, תשאלו, תכתבו. 
עומר טייכר | מדריך וטכנאי מחשבים: (47:47) : אני אראה לכם אחרי זה את התשובה, אני לא מגלה כרגע. 
עומר טייכר | מדריך וטכנאי מחשבים: (47:51) : בחיפוש המתקדם, זכוכית מגדלת, בסרגל בצד ימין. טוב, סרגל בצד ימין, איפה בסרגל בצד ימין קרן? בחשוב, יפה, יפה, אתם... 
עומר טייכר | מדריך וטכנאי מחשבים: (48:04) : חם חם לא פגעתם חם בעוד 
עומר טייכר | מדריך וטכנאי מחשבים: (48:09) : אוקיי אוקיי תמשיכו אני אוהב את התשובות שלכם תמשיכו איפה כל הדואר אוקיי קטגוריות כל המיילים אוקיי יאללה אני לא מגלק הרגע 
עומר טייכר | מדריך וטכנאי מחשבים: (48:22) : אני נותן לכם עוד כמה שניות לכתוב יאללה נו קחו עוד כמה 
עומר טייכר | מדריך וטכנאי מחשבים: (48:27) : זריקו ניחושים איפה זה נמצא 
עומר טייכר | מדריך וטכנאי מחשבים: (48:31) : אז אני אראה לכם. 
עומר טייכר | מדריך וטכנאי מחשבים: (48:38) : שוש כל הכבוד שוש 
עומר טייכר | מדריך וטכנאי מחשבים: (48:44) : אז יפה 
עומר טייכר | מדריך וטכנאי מחשבים: (48:46) : אני הולך לג'ימל שלי 
עומר טייכר | מדריך וטכנאי מחשבים: (48:49) : והולך לדואר נכנס 
עומר טייכר | מדריך וטכנאי מחשבים: (48:54) : רגע. 
עומר טייכר | מדריך וטכנאי מחשבים: (48:56) : בוא ניקח קידומי מחירות ורגע נעביר את זה שנייה סימון בתווית קידומי מחירות. 
עומר טייכר | מדריך וטכנאי מחשבים: (49:05) : אוקיי שימו לב 
עומר טייכר | מדריך וטכנאי מחשבים: (49:09) : שיגעת אותנו חמודים תסתכלו יש לי מייל של אליסון אוקיי ואני רוצה להעביר אותו הוא של 25 ביוני ואני רוצה להעביר אותו לארכיון. 
עומר טייכר | מדריך וטכנאי מחשבים: (49:24) : אחד מהדברים שקורים בעיקר ב-gmail זה 
עומר טייכר | מדריך וטכנאי מחשבים: (49:30) : לא בתוך המייל אלא בטלפון שלנו, בטלפון שלנו כשאנחנו מחליקים ימינה 
עומר טייכר | מדריך וטכנאי מחשבים: (49:39) : את האימייל הוא עובר לארכיון ולכן צריכים לדעת איפה זה נמצא. רגע לפני שאני עובר לאיפה זה הארכיון נמצא, לפני שאני עובר לזה אני רוצה להראות לכם למה התכנסנו, מה הטיפ, תסתכלו. 
עומר טייכר | מדריך וטכנאי מחשבים: (49:52) : למשל יש פה כפתור שנקרא רענן אני מאמין שהרבה מכם מכירים אותו ויש כל מיני כפתורים גם בתוך המייל כל מיני סמלים למעלה שלא בהכרח אנחנו יודעים מהם. 
עומר טייכר | מדריך וטכנאי מחשבים: (50:04) : אם אנחנו רוצים להפוך את זה לטקסט פשוט אנחנו הולכים לגלגל השיניים הולכים לדף ההגדרות 
עומר טייכר | מדריך וטכנאי מחשבים: (50:13) : ופה אנחנו גוללים למטה 
עומר טייכר | מדריך וטכנאי מחשבים: (50:17) : ויש לי למטה למטה רגע. 
עומר טייכר | מדריך וטכנאי מחשבים: (50:23) : תסתכלו זה נקרא תוויות כפתורים, אנחנו יכולים לזכור את זה, שוב כמו שאמרתי, אני אשלח לכם תקלטת, תוכלו לראות, תוויות כפתורים, מה קורה בתוויות כפתורים, אני יכול לבחור בטקסט, במקום סמלים, אני יורד למטה, עושה שמירת שינויים, ואופ, אני עושה רפרש, 
עומר טייכר | מדריך וטכנאי מחשבים: (50:44) : שימו לב, במקום סמלים יש לי מילים, עכשיו תסתכלו איך זה עוזר לכם בתוך המיילים, תסתכלו. אני נגיד נכנס לאליסון אוקיי? 
עומר טייכר | מדריך וטכנאי מחשבים: (50:55) : תסתכלו למעלה אני יכול פתאום מתבהר לי מה יש לי. יש לי חזרה. איפה בדיוק אני מכניס לארכיון, אני יכול להעביר את זה לספאם, למחוק את זה, להעביר את זה למצב עוד לא קראתי, להישאר את זה לקוטגוריה, אנחנו לא ניכנס לכל כי אי אפשר, אבל תסתכלו. אחד מהדברים היפים שיש לכם פה, זה כפתור העוד, זה כפתור שהיה בצורת שלוש נקודות, שהרבה מכם לא נכנסו אליו בכלל אף פעם, הם לא בדקו אותו אף פעם, כי לא תמיד 
עומר טייכר | מדריך וטכנאי מחשבים: (51:27) : שמים לזה, לא תמיד, אנחנו בתשומת לב לכפתורים הקטנים האלה. אם אני לוחץ על עוד, תראה, כולי יש לי אפשרויות נהדרות לטיפול בהמשך, הוספה אל משימות, יצירת אירוע, שוב, אי אפשר להיכנס לכל, אבל אני במהלך, אני בתהליך הכנת קורס שיהיה בו את כל הדברים, לקחות צדמן, לסמן בתווית, ותראה כולי יש שם עוד כפתור, שנקרא מעבר לסרגל כלים מתקדם. אם אני לוחץ על הכפתור הזה, אני יכול לראות עוד אפשרויות בסרגל הראשי שלי. 
עומר טייכר | מדריך וטכנאי מחשבים: (52:02) : זה פותח לי המון המון אפשרויות של מה שאני רוצה לעשות 
עומר טייכר | מדריך וטכנאי מחשבים: (52:11) : בתוך המיילו. 
עומר טייכר | מדריך וטכנאי מחשבים: (52:14) : דבר מאוד מאוד יפה. אני חוזר חזרה, 
עומר טייכר | מדריך וטכנאי מחשבים: (52:19) : ועכשיו אני אראה לכם איך מוצאים את המייל שהעברנו לארכיון. אז בעצם אני נוחץ על Allison, ויש לי כפתור לארכיון, נכון? העברתי אותו לארכיון. עכשיו בעצם... 
עומר טייכר | מדריך וטכנאי מחשבים: (52:33) : מה לקוחות שואלים אותי? איפה פה נמצא התווית לארכיון? נכון? אני בוא נפתח לכם. זה כאילו מסומן כוכב לטיפול בהמשך, חשוב, נשלח, מתוזמן, תהיותה, כל הדואר השפע. עוד? 
עומר טייכר | מדריך וטכנאי מחשבים: (52:47) : יש פה ספם, קטגוריות, ניהול תוויות, אין פה ארכיון. אז איפה זה נמצא? זה נמצא תחת כל הדואר. כשאני הולך לכל הדואר אני יכול לראות את הליסון שלי. 
עומר טייכר | מדריך וטכנאי מחשבים: (53:02) : את המייל מאליסון מ-25, 
עומר טייכר | מדריך וטכנאי מחשבים: (53:06) : מ-25 ביולני, אני יכול לגרור את זה חזרה, לדואר נכנס, אני גרור ושוב זה בדואר נכנס, אז כל דבר שעובר לכם לארכיון, אתם יכולים לראות, בכל המיילים, כל הדואר שלכם, 
עומר טייכר | מדריך וטכנאי מחשבים: (53:25) : נפתח עולם חדש, 
עומר טייכר | מדריך וטכנאי מחשבים: (53:28) : ושוב, כל מה שנמצא למטה, בעוד אתם יכולים לגרור למעלה שיהיה בתפריט הראשי שוב למשל כל הדואר הוא יכול להיות למטה ואתם לא תראו אותו ואתם יכולים לפתוח את העוד ולהעביר את כל הדואר למעלה ואז לראות אותו בתפריט הראשי שלכם 
עומר טייכר | מדריך וטכנאי מחשבים: (53:49) : אם מוחקים הארכיון זה עובר להשפע 
עומר טייכר | מדריך וטכנאי מחשבים: (53:52) : פשוט עובר להשפע כמו שמחקתי את אליסון וזה נשמר שם 30 יום 
עומר טייכר | מדריך וטכנאי מחשבים: (53:58) : זה לא נמחה כל כך מהר מהג'ימלו האם ריכוז של כל הדור שלו לא אין ריכוז של כל הדור שאלה מצוינת שלמה אין ריכוז של כל הדור שנשמר בארכיון אין אין דבר כזה 
עומר טייכר | מדריך וטכנאי מחשבים: (54:12) : מה תפקיד הארכיון. תפקיד הארכיון זה כאילו שאנחנו לא נראה תפקיד הארכיון זה שאנחנו לא נראה את האימייל שהוא לא יציק לנו בעין בתיבה אבל הוא בכל מקרה ישמר לא זה לא תורו משפחה. 
עומר טייכר | מדריך וטכנאי מחשבים: (54:30) : לא לא לא לא זה לא תרום השפעה, זאת לא הנקודה של הארכיון. הקבוצה של הארכיון זה שאנחנו רוצים סדר בעיניים שלנו, ואנחנו לא רוצים לראות את כל המיילים, אנחנו מעבירים לארכיון שנוכל להיכנס למייל הזה אחר כך. זה בדיוק אותו דבר כמו בוואטסאפ שלכם, נכון? יש לכם את הפונקציה הארכיון, אתם יכולים להעביר צ'טים לארכיון, בדיוק אותו דבר. אתם לא רואים אותם במסך הראשי שלכם, אתם רואים אותם במידה ואתם נכנסים לארכיון. מה לגבי דואר יוצא? לא ניכנס לזה עכשיו. הלאה. אז רעיונון. הרבה אנשים לא יודעים בכלל שאפשר לרענן את התאיבה בלחיצת כפתור. העברה לארכיון, נלחץ בטעות, המייל נעלם ואתם לא יודעים לאן. מחיקה. לרוב ברור, אבל כשיש רק סמל, לפעמים נלחץ בטעות. 
עומר טייכר | מדריך וטכנאי מחשבים: (55:26) : סמן כלא נקרא, דרך מצוינת לשמור מיילים להמשך טיפול, ואנשים שוכחים שיש את זה. את כל השאלות שיש לכם דרך אגב אני אענה בסוף, אין לכם מה לדאוג, הכל אני אענה גם אם עכשיו אני לא יכול לענות על הכל. 
עומר טייכר | מדריך וטכנאי מחשבים: (55:40) : עוד, בתוך הכפתור הזה, בתוך הכפתור הזה, מסתתרות תכונות זאב, 
עומר טייכר | מדריך וטכנאי מחשבים: (55:47) : אוספה אל משימות, יצירת אירוע, סימון בתווית, ועוד, מעבר לסרגל כלים מתקדם. מאפשר לראות יותר אופציות פתוחות מראש בלי ללחוץ כל פעם על עוד. הראתי לכם את זה. 
עומר טייכר | מדריך וטכנאי מחשבים: (56:04) : הנושא הבא שאני רוצה לדבר עליו, ואחרי אנחנו בזמנים, יפה. הנושא הבא שאני רוצה לדבר עליו נקרא כוכב קטן סדר גדול. אני לא יודע אם זה קורה רק לי, אבל יש מיילים שאני פשוט חייב לזכור לחזור אליהם. 
עומר טייכר | מדריך וטכנאי מחשבים: (56:22) : מישהו שלח לי הצעת מחיר או תופס שצריך לחתום עליו, או מייל שצריך לעבור עליו מחר, אבל אני לא פנוי עכשיו. ומה קורה? זה נעלם בתיבה. יורד שורה ועוד שורה ואז נשכח. בהתחלה הייתי עושה לעצמי תזכורת, 
עומר טייכר | מדריך וטכנאי מחשבים: (56:42) : כותב פתקים, שולח לעצמי וואטסאפ, עד שגיליתי את הדבר הכי פשוט שיש בג'ימל, הכי פשוט, כוכב. לחיצה קטנה והמייל מסומן. ואחר כך בלחיצה אחת אני רואה רק את כל המיילים החשובים שלי ומסומנים. לא שוכח, לא מחפש. לא נעלם לי, ואחרי זה גם גיליתי שבהגדרות אפשר לבחור צבעים שונים ולתת לכל כוכב משמעות אחרת. אחד לשמור, אחד לבדוק, אחד לא לגעת. 
עומר טייכר | מדריך וטכנאי מחשבים: (57:19) : איך אתם מזכירים לעצמכם לחזור למייל חשוב? 
עומר טייכר | מדריך וטכנאי מחשבים: (57:23) : משאירים את המייל כלא נקרא? זה שיקפוץ לכם מול העיניים אם תזכרו לפתוח שוב? שולחים לעצמכם וואטסאפ? כי אם זה לא מופיע בוואטסאפ זה לא קיים, שמים תזכורת בטלפון או בלוח שנה, אם אתם מסודרים או לפחות מנסים להיות, 
עומר טייכר | מדריך וטכנאי מחשבים: (57:40) : משאירים את המיל פתוח בטאב בדפדפן, בתקווה שלא תסגרו אותו בטעות יחד עם עוד 27, 
עומר טייכר | מדריך וטכנאי מחשבים: (57:47) : פשוט צומחים על הזיכרון ומקווים לטובו. 
עומר טייכר | מדריך וטכנאי מחשבים: (57:53) : אז תראו איזה טריק פשוט חלקכם בטח משתמשים בו, חלקכם לא, פשוט יפה. ואני משתמש בו על בסיס יומי, אנחנו נכנסים לג'ימל שלי, 
עומר טייכר | מדריך וטכנאי מחשבים: (58:11) : דואר נכנס, למשל יש לי פה חשבוניות שאני רוצה לשמור, אוקיי של הזום, 
עומר טייכר | מדריך וטכנאי מחשבים: (58:22) : יש לי אפשרות לסמן אותם בכוכב בצורה הכי פשוטה שאפשר, 
עומר טייכר | מדריך וטכנאי מחשבים: (58:28) : יש לי פה כפתור שנקרא כוכב, ואני מסמן אותו 
עומר טייכר | מדריך וטכנאי מחשבים: (58:34) : עכשיו תראו משהו יותר מזה אתם רוצים לסמן כל מיני מיילים בצבעים אחרים של כוכבים אני לוחץ על גלגל השיניים 
עומר טייכר | מדריך וטכנאי מחשבים: (58:45) : פה לדף ההגדרות 
עומר טייכר | מדריך וטכנאי מחשבים: (58:48) : אני גולה למטה ותסתכלו איזה יופי יש לי פה אפשרות של כוכבים אני יכול לגרור אני רוצה להגיד כוכב בצבע אדום כוכב בצבע כחול, כוכב בצבע ירוק, שוב כל הכוכבים, אני יכול לבחור כל הכוכבים, 4 כוכבים, מה שאני רוצה, ואז למשל אני יורד למטה, עושה שמירת שינויים, למשל אני רוצה לשמור איזה מייל של סמוב, אבל לא בצהוב, אני רוצה בכחול, שני קליקים, כחול, אני רוצה את המיילים של טקסמיד, של קמטזיה נגיד, תוכנה שיש לי, במייל אדום, בכוכב אדום. 
עומר טייכר | מדריך וטכנאי מחשבים: (59:29) : עושה כוכב רגע ברח לי כוכב אדום יפה עכשיו תראו איזה יופי 
עומר טייכר | מדריך וטכנאי מחשבים: (59:37) : אני העברתי את זה לפה בוא נראה כוכב אוקיי אצלכם זה נגיד יכול להיות למטה תסתכלו. 
עומר טייכר | מדריך וטכנאי מחשבים: (59:44) : יש לי אפשרות יש לי לשונית שנקראת כוכבים סטארו באנגלית מסומן בכוכב אני יכול לגרור אותו לחלק העליון לגרור אותו. ואז אני אראה אותו ברשימה ה... ראשית שלי מסומן בכוכב ואני רואה את כל המיילים שסימנתי בכוכב ולמה זה יפה ולמה זה חשוב כי הרבה פעמים אתם רוצים 
עומר טייכר | מדריך וטכנאי מחשבים: (1:00:14) : לטפל במייל אחרי זה או למשל. טכנאי אתם רוצים להרבה פעמים לקוחות נגיד רוצים לעבוד איתי על מייל יש להם מייל שהם קיבלו עם קובץ מצורף ו. הם רוצים להראות לי למה הקובץ לא נפתח, הקובץ נפתח בתוכנה הזאת ולא בתוכנה הזאת, הקובץ שלה, 
עומר טייכר | מדריך וטכנאי מחשבים: (1:00:36) : נכון, זה נמצא תחת עוד, מסומן בכוכב, זה נמצא תחת עוד, אתה יכול לגרור את זה למעלה. לקוחות נגיד יש להם איזה קובץ שהם לא מצליחים לפתוח מיליון ואיך הדברים, והם מתחילים לחפש איתי את המייל, מתי הוא היה, ואיפה, וכמה, ולמה. לאחול לקחת מלא מלא מלא זמן, 
עומר טייכר | מדריך וטכנאי מחשבים: (1:00:59) : אם סימנתי מיילים בצבע כוכב, אני רוצה לשנות, כמה פעמים את לוחצת על הכוכב הזה ואת משנה את הצבע שלו, 
עומר טייכר | מדריך וטכנאי מחשבים: (1:01:07) : פשוט מסמנים בכוכב, הולכים למסומן בכוכב, מוצאים את המייל הזה, אני עושה את זה כל הזמן, 
עומר טייכר | מדריך וטכנאי מחשבים: (1:01:14) : שוב, התיבה הזאת זה תיבת הדגמות שלי, אתם לא רואים את המיילים האמיתיים שלי, לכן בטבע האמיתית שלי יש הרבה יותר דברים מסומנים בכוכב 
עומר טייכר | מדריך וטכנאי מחשבים: (1:01:24) : כל השאלות שלכם ייענו בהמשך, אל תדאגו אני לא אפספס. 
עומר טייכר | מדריך וטכנאי מחשבים: (1:01:31) : אז, 
עומר טייכר | מדריך וטכנאי מחשבים: (1:01:33) : רגע, פה לא צריך לעשות חזרה, זה מובן. אז בעצם גולת הכותרת של היום, גולת הכותרת, נקראת, נקרא 
עומר טייכר | מדריך וטכנאי מחשבים: (1:01:45) : או לא נקרא? זאת השאלה. 
עומר טייכר | מדריך וטכנאי מחשבים: (1:01:49) : שלחתי מיילו, 
עומר טייכר | מדריך וטכנאי מחשבים: (1:01:51) : לא סתם מיילו. אחד מהחשובים... הייתה שם הצעת מחיר ללקוח שעבדתי עליה הרבה. שלחתי, הסתכלתי על המסך 
עומר טייכר | מדריך וטכנאי מחשבים: (1:02:02) : וכלום. לא טלפון, לא תגובה, לא קיבלתי. שקט מוחלט. עברו שעתיים, חצי יום, יום שלם ואני מתחיל לשאול את עצמי. הוא ראה את זה בכלל? המייל נפתח? אולי זה נפל בכלל לספם? אולי פספס? אולי הוא בכלל מתעלם ממני? וכשאני שואל אותו אחרי יומיים, מה הוא אומר לי? לא ראיתי את זה בכלל, לא. וזה בדיוק הרגע שבו החלטתי. אני לא רוצה יותר לנחש, ומאז יש לי שני V ירוקים, בדיוק כמו בוואטסאפ. V אחד נשלח, שני V נקרא. וזה שינה לי את כל הדרך שאני עובד מול לקוחות. 
עומר טייכר | מדריך וטכנאי מחשבים: (1:02:46) : מה אתם עושים כששלחתם אלי חשוב ואין תגובה? 
עומר טייכר | מדריך וטכנאי מחשבים: (1:02:50) : מחכים לסבלנות? אולי שולחים שוב אחרי שעובר זמן, מתקשרים לוודא שקיבלו, 
עומר טייכר | מדריך וטכנאי מחשבים: (1:02:57) : מבטרים וממשיכים הלאה, או כל אחת מהאפשרויות. אז אני אראה לכם איך עושים את זה בצורה כל כך פשוטה, כל כך קלה, כל כך 
עומר טייכר | מדריך וטכנאי מחשבים: (1:03:10) : חשובה. 
עומר טייכר | מדריך וטכנאי מחשבים: (1:03:11) : בעצם מה שאני עושה, אני אפתח עוד לשונית בחרום, ואני אחפש, 
עומר טייכר | מדריך וטכנאי מחשבים: (1:03:19) : פה אני אחפש. נכנס לגוגל, 
עומר טייכר | מדריך וטכנאי מחשבים: (1:03:27) : נחפש למעלה, מייל, מייל סוויט, אני אתן לכם את זה 
עומר טייכר | מדריך וטכנאי מחשבים: (1:03:36) : במייל הסיקור, מייל סוויט, 
עומר טייכר | מדריך וטכנאי מחשבים: (1:03:39) : בעבר זה נקרא אימייל טראקר, בעיון זה נקרא מייל סוויט, זה התוסף המוביל 
עומר טייכר | מדריך וטכנאי מחשבים: (1:03:47) : למה שאנחנו רוצים, נכנס למייל סוויט, 
עומר טייכר | מדריך וטכנאי מחשבים: (1:03:51) : כרגע נמצא 
עומר טייכר | מדריך וטכנאי מחשבים: (1:03:53) : בתוך החשבון שלי. זה מה שאתם תראו כשאתם נכנסים למייל סוויט. זה החלון שאתם תראו כשאתם נכנסים למייל סוויט. 
עומר טייכר | מדריך וטכנאי מחשבים: (1:04:03) : למטה יש לי כפתור Install Email Tracker. אנחנו נלחץ על זה, Install Email Tracker. 
עומר טייכר | מדריך וטכנאי מחשבים: (1:04:12) : אנחנו נעבור למסך הזה, נלחץ Add to Chrome, 
עומר טייכר | מדריך וטכנאי מחשבים: (1:04:18) : ונלחץ על התקנת תוסף. 
עומר טייכר | מדריך וטכנאי מחשבים: (1:04:23) : בזה הרגע התוסף הזה הותקן לחרום, אם אנחנו רוצים לראות אותו כדי שתדעו, 
עומר טייכר | מדריך וטכנאי מחשבים: (1:04:28) : יש לי פה כפתור, לא יודע איך לתאר אותו, שנקרא תוספים, ובתוך כפתור תוספים אני יכול תחת מייל טראקר, יש לי פה נעץ, לוחץ על הנעץ ואני רואה אותו בשורה העליונה, 
עומר טייכר | מדריך וטכנאי מחשבים: (1:04:46) : שוב כפתור תוספים, נעץ, שורה העליונה, אני נכנס למייל טראקר, 
עומר טייכר | מדריך וטכנאי מחשבים: (1:04:53) : עם החשבון שלי, 
עומר טייכר | מדריך וטכנאי מחשבים: (1:04:58) : אני אשאר בתוכנית החינמית, אין צורך לשלם כסף. מי שרוצה ואוהב לשלם יכול אין צורך לשלם כרגע כסף, 
עומר טייכר | מדריך וטכנאי מחשבים: (1:05:07) : חוזר לטבעת האימייל שלי, 
עומר טייכר | מדריך וטכנאי מחשבים: (1:05:10) : יש פה כל מיני דברים, הוא רוצה להראות לכם, לוחץ לוחצים אוקיי, יש לו את השטויות שלו, תסתכלו איזה יופי, אוקיי אני רוצה להראות לכם דבר מדהים ויפה, ושדרוג גם מהגרסה הקודמת של התוכנה, אוקיי חשובו. 
עומר טייכר | מדריך וטכנאי מחשבים: (1:05:27) : נגיד אני עכשיו, 
עומר טייכר | מדריך וטכנאי מחשבים: (1:05:29) : נכנס לתיוטה, יש לי תיוטה? אני אעשה אימייל חדש, בלאמייל אני אקרא, אני אשלח את זה אליי, 
עומר טייכר | מדריך וטכנאי מחשבים: (1:05:38) : שתוכלו לראות איך זה נראה, 
עומר טייכר | מדריך וטכנאי מחשבים: (1:05:42) : ask, או ask, או מר, אני אקרא לזה, אישור, שליחה, 
עומר טייכר | מדריך וטכנאי מחשבים: (1:05:53) : שימו לב, בגרסה הקודמת, שנקראת אימייל טראקר, בגרסה החינמית, 
עומר טייכר | מדריך וטכנאי מחשבים: (1:06:02) : היה כאילו היה כתוב שנשלח ממייל טראקר אוקיי ואז יכלו לראות שאני רואה אם הם קיבלו או לא קיבלו את המייל בגרסה הזאת בחינם אני יכול לבטל את זה אני עושה x remove אני עושה do not include unsubscribe עושה continue וזהו אותו בן אדם לא רואה שאני יודע. אם הוא קיבל את המייל או לא, אם הוא פתח אותו, תסתכלו. אישור שליחה, ואני לוחץ שליחה. שוב, אם זה מהר מדי בשבילכם, תוכלו לראות את זה אחרי זה בהקלטה, אל תדאגו. אין לי כפתור תוספים, איך לחפש. בסוף אני אענה לך, נמשיך עם ההדרכה ואני אענה לך בסוף. 
עומר טייכר | מדריך וטכנאי מחשבים: (1:06:46) : אני לוחץ שליחה ותסתכלו. 
עומר טייכר | מדריך וטכנאי מחשבים: (1:06:48) : כרגע, תסתכלו, יש לי תווית נשלח. 
עומר טייכר | מדריך וטכנאי מחשבים: (1:06:52) : בתווית נשלח, יש לי פה אל עומר, askomer. 
עומר טייכר | מדריך וטכנאי מחשבים: (1:06:58) : קורס הזה תסתכלו V1 כמו בוואטסאפ V1 שלחתי עכשיו אני אכנס לחשבון השני שלי אסק עומרו 
עומר טייכר | מדריך וטכנאי מחשבים: (1:07:09) : כרגע אני יכול לראות שקיבלתי את המייל רגע פה לא צריך קיבלתי את המייל בוא נראה לא לא קיבלתי את המייל 
עומר טייכר | מדריך וטכנאי מחשבים: (1:07:23) : לפהו 
עומר טייכר | מדריך וטכנאי מחשבים: (1:07:28) : אישור שליחה מעניין מעניין שאני לא רואה אותו עדיין. אה הנה הוא הגיע הגיע בסוף הגיע. אתם רואים בסוף מגיע. אישור שליחה אני לוחץ על הכפתור הזה. 
עומר טייכר | מדריך וטכנאי מחשבים: (1:07:44) : עכשיו אתם רואים שימו לב שימו לב. בתוך המייל הזה אין שום זכר לזה שמישהו כרגע רואה. שקראתי את המייל שלו שימו לב שזה מאוד חשוב אין שום זכרות אין סימן מים אין הזכור שום דבר מבחינת הבן אדם שקיבל את זה זה שקוף הוא קיבל אימייל אבל אני בתוך הדואר שלי רואה שנב ירוק הוא פתח את המייל וקרא אותו בגרסה בית השלום אפשר לדעת בדיוק מתי הוא קרא יש כל מיני אפשרויות אני לא יודע כי אני עובד עם החינמי אני לא בדיוק יודע את כל האפשרויות שם אני לא חושב שצריך לא דעתי מי שרוצה שוב אפשרויות מתקנמות תמיד יכול 
עומר טייכר | מדריך וטכנאי מחשבים: (1:08:31) : יש לי פה שאלה כפתור תוספים יש את זה למעלה צריך להיות איך הכפתור כזה אם אין לך כפתור צורך להתי קשר יש אנשים שאין להם תוספים אז הם לא רואים את הכפתור הזה הוא נעלם להם יש את זה בהגדרות 
עומר טייכר | מדריך וטכנאי מחשבים: (1:08:46) : בהגדרות אפשר פה להראות את התוספים תוספים 
עומר טייכר | מדריך וטכנאי מחשבים: (1:08:51) : אבל בכל מקרה לוחצים על תוספים ועל הנאץ 
עומר טייכר | מדריך וטכנאי מחשבים: (1:08:57) : אז זה בעצם הוואו שאתם יכולים לדעת מי קראת המעל שלכם שזה נהדר 
עומר טייכר | מדריך וטכנאי מחשבים: (1:09:07) : אז בוא נעבור 
עומר טייכר | מדריך וטכנאי מחשבים: (1:09:10) : סיימנו את ההרצאה הראה לי זה היה מכובד כמה זמן עבר 50 דקות יפה מאוד ההרצאה הבאה שלי היא תהיה ב27 ביולי, 27, 27, שבי לא יודע, 27 ביולי בשעה 6, זה יהיה על גיבוי בענן, זה יהיה שידרוגו, כן, יהיה הקלטה, כן, יהיה הקלטה, 
עומר טייכר | מדריך וטכנאי מחשבים: (1:09:31) : מיומנו של טכנאי מחשבים פרק 5 על גיבוי אוטומטי בענן, זה בעצם אני משדרג את ההרצאה הקודמת שלי על גיבוי אוטומטי בענן, סיפורים, 
עומר טייכר | מדריך וטכנאי מחשבים: (1:09:42) : אני משנה טיפה, גם שידרגו טיפה את התוכנה של הגיבוי בענן. 
עומר טייכר | מדריך וטכנאי מחשבים: (1:09:48) : מה מחכה לכם בהרצאה הבאה? הסיבה שגיבוי רגיל לא בהכרח יציל את הקבצים שלכם. הכלי הפשוט שאיתו הקבצים שלכם ישמרו אוטומטית בלי שתעשו כלום. איך לגלות מה תופס לכם את המקום בענן ואיך לנקות אותו, נלמד גם את זה. הבדל קריטי בנסי נכון לגיבוי שרבים לא מבינים, איך לשתף קובץ על שני ג'יגה בלי לשלוח אותו, אפשרויות שיתוף, 
