עומר טייכר | מדריך וטכנאי מחשבים: (21:29) : עוד חמש דקות מתחילים 
עומר טייכר | מדריך וטכנאי מחשבים: (50:26) : נועה, רגע אני אגידי לכם את זה ואני אפיל את זה. 
עומר טייכר | מדריך וטכנאי מחשבים: (50:32) : נועה, בת 34 עובדת מהבית, מתזזת בין ילדים, 
עומר טייכר | מדריך וטכנאי מחשבים: (50:39) : זומים וקפה שלא מספיק להתקרר. 
עומר טייכר | מדריך וטכנאי מחשבים: (50:44) : פגישה חשובה בזום, הכל מוכן, מצלמה, מצגת, חיוך, 
עומר טייכר | מדריך וטכנאי מחשבים: (50:52) : פה קצת מבועסת אבל לא נורא, ואז המסך קופה. נועה, אנחנו לא שומעים אותך. היא מתנתקת, מתחברת, מתקשרת לספק האינטרנט. תעשי הפעלה מחדש לראוטר. 
עומר טייכר | מדריך וטכנאי מחשבים: (51:08) : עבד יום, התקלה חזרה. החליף הראוטר, עבד שבוע, התקלה חזרה. בסלון, טס. במטבח, מושלם. בחדר עבודה, חור שחור. היום נראה איך פתרתי לה את זה, אחת ולתמיד. בואו נשאל אתכם שאלה תענו לי בצ'אט באיזה חדר בבית הקליטה שלכם הכי גרועה? בסלון? בממד? 
עומר טייכר | מדריך וטכנאי מחשבים: (51:39) : בחדר השינה? ואולי בכלל? נדבר על זה בסוף מרים. ואולי בכלל במטבח? 
עומר טייכר | מדריך וטכנאי מחשבים: (51:46) : פעם מאוד. 
עומר טייכר | מדריך וטכנאי מחשבים: (51:49) : אז תקראו את הפוצות שקשירות לאינטרנט. האינטרנט בבית חלש והמהירות נמוכה. אין לי קליטה בממד בכלל. הבא שלי מתלונן שהמשחקים כל 
עומר טייכר | מדריך וטכנאי מחשבים: (52:01) : נדרש מגלית דווח אנחנו נדבר על זה גיורה הבן שלי מתלונן שהמשחקים כל הזמן נתקעים האינטרנט מתנתק כל הזמן אומרים לי שבזום לא שומעים אותי טוב הכל נקטע אומרים שבתמונה שלי שהתמונה שלי נתקעת ולא יציבה 
עומר טייכר | מדריך וטכנאי מחשבים: (52:20) : תראו לכם בית עם תנור חימום אחד מי שיושב קרוב לתנור מרגיש חם ונעים אבל מי שיושב רחוק ממנו מרגיש 
עומר טייכר | מדריך וטכנאי מחשבים: (52:34) : קר. 
עומר טייכר | מדריך וטכנאי מחשבים: (52:36) : לפני שאנחנו נסיים את הסיפור הזה אחר כך, 
עומר טייכר | מדריך וטכנאי מחשבים: (52:40) : אבל עכשיו אני אסביר לכם על נתב, ראוטר, מה זה בכלל נתב? זה כל מיני סוגים של נתבים, אתם יכולים לראות את זה בבית אצלכם, 
עומר טייכר | מדריך וטכנאי מחשבים: (52:50) : לפרטנר, לסלקום, לאוט, לבזק, לכל אחד יש נתב. 
עומר טייכר | מדריך וטכנאי מחשבים: (52:56) : מה זה נתב בעצם? נתן בעצם זה מכשיר 
עומר טייכר | מדריך וטכנאי מחשבים: (53:00) : שמקבל את האינטרנט שלכם מהספק אינטרנט זה יכול להיות כמו שאמרתי בזק פרטנר עוד 
עומר טייכר | מדריך וטכנאי מחשבים: (53:10) : והוא מפיץ את האינטרנט בבית יש שתי אפשרויות שהוא יפיץ את האינטרנט בבית הדרך הראשונה זה הפצת אינטרנט דרך קאבל 
עומר טייכר | מדריך וטכנאי מחשבים: (53:20) : זה החיבור הכי 
עומר טייכר | מדריך וטכנאי מחשבים: (53:24) : יציב הוא הרבה שנים הוא קיים כבר בשוק המון שנים, הוא נדיר נדיר נדיר נדיר שהוא עושה בעיות, 
עומר טייכר | מדריך וטכנאי מחשבים: (53:36) : וכל פעם שאנחנו מחברים את המחשב שלנו לקבל, אנחנו מקבלים את המהירות המקסימלית של האינטרנט שלנו, זאת אומרת שאם אנחנו משלמים על 100 מגה, אנחנו נקבל 100 או קרוב, אם אנחנו משלמים על 200, אנחנו נקבל 200 או קרוב. אם אנחנו משלמים על ג'יגה שיש לנו סיבים אופטימיים אנחנו נקבל ג'יגה 
עומר טייכר | מדריך וטכנאי מחשבים: (54:00) : קרוב. אבלו ויש אבלו. 
עומר טייכר | מדריך וטכנאי מחשבים: (54:05) : לראוטר לרכיב הזה יש גם אפשרות שנקראת הלכות. הוא בעצם מה הוא עושה הוא מקבל את האינטרנט שלנו ומפיץ אותו בבית בצורה הלכותית. לטלפון שלנו, למחשב הנייד שלנו, לטלוויזיה החכמה שלנו. 
עומר טייכר | מדריך וטכנאי מחשבים: (54:25) : לא יודע לרמקול החכם שלנו לתאורה שלנו החכמה מיליון ואילו דברים 
עומר טייכר | מדריך וטכנאי מחשבים: (54:32) : מה שקורה 
עומר טייכר | מדריך וטכנאי מחשבים: (54:34) : שהרכיבים האלה שמגיעים מהספקיות אינטרנט 
עומר טייכר | מדריך וטכנאי מחשבים: (54:39) : לא לאית אוקיי לא לאית 
עומר טייכר | מדריך וטכנאי מחשבים: (54:43) : לא לא לא נרחיב כי זה מוקלט אבל הם לא לאית זה כל מיני רכיבים סינים כאלה לא איכותיים לכן 
עומר טייכר | מדריך וטכנאי מחשבים: (54:53) : אתם יכולים לשים לב שמדי פעם האינטרנט שלכם מתנתק, או שאין לכם קליטת אור. בקול מיני אזורים בבית כי הוא קודם כל הוא חלה שהאינטרנט שהוא מפיץ זה לא ברמה גבוהה דבר שלו זה הוא אחד הוא אחד, כאילו תחשבו על 
עומר טייכר | מדריך וטכנאי מחשבים: (55:11) : משהו שרחוק ממנו קשה לו לקבל את המהירות, אוקיי? הוא רחוק, 
עומר טייכר | מדריך וטכנאי מחשבים: (55:16) : זה עובד 
עומר טייכר | מדריך וטכנאי מחשבים: (55:18) : על מרחקים ככל שמשהו יותר רחוק ממנו הוא יקבל אות יותר נמוך והמהירות תרד במיוחד בממד האות שלו האות ההלכותית לא עוברת ממד בצורה טובה יש אנשים שבשבילם זה גזירת גורל בממד לא מקבלים אינטרנט אוקיי זה גזירת גורל כזאת 
עומר טייכר | מדריך וטכנאי מחשבים: (55:40) : אז מה שקורה שכמו שאמרתי המכשיר הזה לא עובד טוב כשקונים אותו מהספקית 
עומר טייכר | מדריך וטכנאי מחשבים: (55:50) : פתרון לא יעילו גיורה מגדיל טווח מעריך טווח פתרון לא יעילו ולמה הוא לא יעיל 
עומר טייכר | מדריך וטכנאי מחשבים: (56:01) : לו? כשהראוטר, שהנתב שלנו משדר את האינטרנט לא בצורה איכותית, מה שקורה, המגדיל טווח, המעריך טווח, הוא בעצם שואב את האינטרנט 
עומר טייכר | מדריך וטכנאי מחשבים: (56:16) : מהאינטרנט של הנתב שלנו. איך אני אדגים לכם את זה בצורה טובה? תחשבו שהנתב חולה, 
עומר טייכר | מדריך וטכנאי מחשבים: (56:25) : אוקיי? הנתב לא מפיץ אינטרנט. אז גם המעריך טווח הוא בעצם מתקשר עם גוף חולה, אוקיי? הוא יקבל גם, הוא יקבל אינטרנט לא טוב. כאילו הוא לא ממציא את הגלגל המעריך טווח, הוא בעצם מתקשר לראוטר, הראוטר לא עובד טוב, המעריך טווח לא יעבוד טוב. הוא לא, אתם לא תקבלו פתאום אינטרנט מהיר עם מעריך טווח. מה 
עומר טייכר | מדריך וטכנאי מחשבים: (56:50) : כן עובד? דבר כזה, משהו שנקרא נתווי מש. מה זה נתבי אמש? נתבי אמש זה ראוטרים חזקים מאוד וחכמים, הם מגיעים בשתי יחידות או שלוש יחידות, עלוי כמה כסף אתם הולכים, גודל הבית שלכם וכמה כסף אתם רוצים להשקיע, יש גם סוגים, יש גם דברים, 
עומר טייכר | מדריך וטכנאי מחשבים: (57:16) : הם חזקים מאוד, הם מפזרים את הבית בצורה חכמה, השלוש יחידות הם... ממקמים אותם כמו משולש בבית במיוחד אם יש לכם שתי קומות 
עומר טייכר | מדריך וטכנאי מחשבים: (57:28) : והאינטרנט מופץ 
עומר טייכר | מדריך וטכנאי מחשבים: (57:30) : בצורה כזאת שאתם מקבלים אינטרנט בכל נקודה בבית אינטרנט איכותי הוא חוצה ממדים הוא עובר את הממד אתם תקבלו אותו במרפסת ובחדר שינה ובחדר ילדים 
עומר טייכר | מדריך וטכנאי מחשבים: (57:47) : ואף אחד לא יתלונן שאין לו אינטרנט הפתרון המושלם לאינטרנט בבית אוקיי לא 
עומר טייכר | מדריך וטכנאי מחשבים: (57:57) : ואתם יכולים 
עומר טייכר | מדריך וטכנאי מחשבים: (58:00) : שהנתב של הספק אינטרנט הוא יוצא רשת משלו זאת אומרת שכבר אתם לא תעבדו על הרשת נגיד שאתם עובדים היום של שם המשפחה שלכם או בי או כל דבר אחר זה יוצא רשת משלו רשת חזקה 
עומר טייכר | מדריך וטכנאי מחשבים: (58:15) : שכמעט ולא נתקעת וזה פתרון מושלם. לבית. 
עומר טייכר | מדריך וטכנאי מחשבים: (58:22) : מערכת מש היא כמו פיזור של כמה תנורי חימום בבית כדי שכולם ירגישו חמים ונעים. 
עומר טייכר | מדריך וטכנאי מחשבים: (58:37) : המקרה הבא שאני רוצה לדבר עליו זה המקרה איך הם מקבלים את הסיגנל. 
עומר טייכר | מדריך וטכנאי מחשבים: (58:44) : איך הם מקבלים את הסיגנל הוא אחד מהראוטרים, אחד מהנתבים. אוקיי אחד מהנתבים אני אראה אחד מהנתבים האלה מתחבר ישירות לראוטר הוא מקבל את האינטרנט שלו מהחיבור הקווי של הראוטר שכמו שאמרתי זה חיבור מאוד מאוד יציב ואיכותי שלא נתקע ואז גם האינטרנט שהוא מקבל זה אינטרנט יציב מקווה שעניתי לך הולך על השאלה 
עומר טייכר | מדריך וטכנאי מחשבים: (59:12) : אז המקרה של דורית נכיר את דורית דורית בת 46 
עומר טייכר | מדריך וטכנאי מחשבים: (59:18) : מנהלת משרד אורחי דין מסודרת אה, יש וידאו 
עומר טייכר | מדריך וטכנאי מחשבים: (59:24) : מסודרת, מדויקת יודעת איפה כל תקנותה עד 
עומר טייכר | מדריך וטכנאי מחשבים: (59:32) : שהמטפסת החליטה לצאת לפסק אימנו לקוח הגיע לחתום דורית לוחצת הטפס וכלום 
עומר טייכר | מדריך וטכנאי מחשבים: (59:43) : מהמחשב של המזכירה המדפסת לא מחוברת. איך לא מחוברת? 
עומר טייכר | מדריך וטכנאי מחשבים: (59:50) : הדפסתי אתמול כרגיל. אז היום נלמד איך לבדוק מדפסת לפני שמאבדים סבלנות. 
עומר טייכר | מדריך וטכנאי מחשבים: (1:00:01) : בואי לשאול אתכם שאלה מהניסיון האישי שלכם, מטפסת, שותפה נאמנה 
עומר טייכר | מדריך וטכנאי מחשבים: (1:00:08) : או אייבת סמויה? איך זה אצלכם? היא שותפה שלכם או שהיא עושה לכם הרבה צרות ולא באה לכם טוב? תכתבו לי בצ'אט. 
עומר טייכר | מדריך וטכנאי מחשבים: (1:00:21) : אז בעצם חמש שאלות שכדאי לשאול כשיש לנו בעיית מטפסת. 
עומר טייכר | מדריך וטכנאי מחשבים: (1:00:29) : השאלה הראשונה, אולי חלק מהשאלות יראו לכם בנאליות אבל כל שאלה פה נכתבה בדם 
עומר טייכר | מדריך וטכנאי מחשבים: (1:00:40) : השאלה הראשונה, האם המטפסת מחוברת בצורת קינה לרשת? 
עומר טייכר | מדריך וטכנאי מחשבים: (1:00:44) : תבדו שהמטפסת מחוברת לאותה רשת ווי-פיי 
עומר טייכר | מדריך וטכנאי מחשבים: (1:00:48) : שבה נמצא המחשב מאוד חשוב, אם היא מחוברת לווי-פיי לא נכון או שהיא לא מחוברת בכלל אתם תמצאו אותה מקרטט במקרים מסוימים ייתכן שהמחשב והמטפסת מחובר לרשתות שונות. המטפסת והמחשב חייבים להיות מחוברים לאותה רשת וייפי, לאותה רשת אינטרנט הלכותית. אם הם מחוברים לרשתות נפרדות היא לא תעבוד. אם אחד עובד על רשת אחרת, 
עומר טייכר | מדריך וטכנאי מחשבים: (1:01:21) : אם אחד תעבוד על רשת אחת ואחד על רשת אחרת, לא תוכלו להתפיס באינטרנט דרך ההלכות. 
עומר טייכר | מדריך וטכנאי מחשבים: (1:01:29) : השאלה השנייה, האם החלפתם ספק אינטרנט לאחרונה או קיבלתם נתב חדש? 
עומר טייכר | מדריך וטכנאי מחשבים: (1:01:37) : במינה והחלפתם נתב או ספק אינטרנט, חשוב לוודא שהמטפסת מוגדרת מחדש 
עומר טייכר | מדריך וטכנאי מחשבים: (1:01:44) : עם ההגדרות של הרשת החדשה. 
עומר טייכר | מדריך וטכנאי מחשבים: (1:01:48) : ייתכן שתצטרכו לחבר את המטפסת מחדש לרשת הווי-פיי ולהזמין ולהזין סיסמאות חדשות. שלוש. 
עומר טייכר | מדריך וטכנאי מחשבים: (1:01:59) : האם ניתן לחבר את המדפסת בקבל רשת? יש מדפסות שאפשר לחבר אותן בקבל רשת אבל זה לא כל מדפסת, זה רק מדפסות שהן נחשבות יותר משרדיות 
עומר טייכר | מדריך וטכנאי מחשבים: (1:02:12) : הן קצת טיפה יותר עיקרות, שווה מאוד חיבור בקבל רשת לא עושה בעיות שוב, 
עומר טייכר | מדריך וטכנאי מחשבים: (1:02:22) : רוב המדפסות שלכם לא יהיה אפשר לחבר בקבל רשת אבל אם אתם רוצים מדפסת יציבה באמת תקנו. לא, זה לא השקעה של, אתם לא תפשטו רגל, וזה שווה. אם התקשורת ההלכותית לא יציבה, לפעמים מחוברת, ולפעמים לא מחוברת, ולפעמים מצאה, ולפעמים לא מטפיסה, ושאתם רוצים לצאת מהבית ולהטפיס, פתאום זה לא מטפיס. מיליון וחצי פורים. ואתם משלמים לטכנאי שיחבר לכם, ואז הוא מתנתק, ואז תוך יומיים זה לא עובד. סיפורים. המטפסות האלה יש להם סיפורים 
עומר טייכר | מדריך וטכנאי מחשבים: (1:03:00) : רק קבל רשת. 
עומר טייכר | מדריך וטכנאי מחשבים: (1:03:02) : זה מספק מהירות ויציבות בהשוואה לווי-פיי. ככה מחברים את המטפסת לרשת. אתם יכולים לראות, מטפסת מתחברת בצד אחד, אתם רואים, לחיבור רשת כמו בראוטר. מהצד השני לראוטר שלכם מהמטפסת, תבדקו אם יש לכם את החיבור הזה. רובכם לא יהיה להם וזה בסדר, לא... 
עומר טייכר | מדריך וטכנאי מחשבים: (1:03:27) : לא לחשוב שמשהו לא בסדר, מצד אחד למדפסת, מצד שני לראוטר. אם 
עומר טייכר | מדריך וטכנאי מחשבים: (1:03:37) : אין לכם חיבור רשת 
עומר טייכר | מדריך וטכנאי מחשבים: (1:03:39) : בקו, 
עומר טייכר | מדריך וטכנאי מחשבים: (1:03:41) : הפתרון הכי טוב למדפסות כאלה זה לחבר בקו. נכון, לא תוכלו להדפיס מכל מחשב בבית, נכון, אבל תוכלו להדפיס בצורה נוחה ויציבה. אין אפשר להוציא... 
עומר טייכר | מדריך וטכנאי מחשבים: (1:03:58) : לא אי אפשר להוסיף יציאות קוויות לרע יותר לא או שיש במטפסת שאין במטפסת 
עומר טייכר | מדריך וטכנאי מחשבים: (1:04:06) : שלב ויעיט האם המטפסת מוגדרת כברירת מחדל במחשב? במידה ויש יותר ממטפסת אחת במערכת ודאו שהמטפסת הנכונה מוגדרת כברירת מחדל ברירת מחדל זה האפשרות האוטומטית שבה המערכת ההפעלה משתמשת לשליחת נתונים למטפסת אבל אני לא אשאיר אתכם ככה אני אראה לכם איך עושים את זה 
עומר טייכר | מדריך וטכנאי מחשבים: (1:04:29) : תסתכלו בתוך מערכת ההפעלה 
עומר טייכר | מדריך וטכנאי מחשבים: (1:04:32) : בתוך ההגדרות 
עומר טייכר | מדריך וטכנאי מחשבים: (1:04:36) : יש לנו אפשרות שנקראת בלוטוס והתקנים 
עומר טייכר | מדריך וטכנאי מחשבים: (1:04:41) : שם יש לנו אפשרות שנקראת מטפסות וסורקים 
עומר טייכר | מדריך וטכנאי מחשבים: (1:04:46) : פה אנחנו נראה רשימה של מטפסות אתם יכולים לראות שיצלי את זה מצומצם כרגע המטפסת שלי סגורה אתם רואים לא מקוון זה בגלל שאני עשיתי את זה בצורה יזומה אבל אצלכם זה לא אמור להיות ואתם יכולים ללחוץ על המטפסת 
עומר טייכר | מדריך וטכנאי מחשבים: (1:05:02) : פה אתם תראו למטה רגע רגע לפני זה קודם כל אתם יכולים לראות פה שיש לכם אפשרות לנהל את המטפסות שלי אתם מבטלים את 
עומר טייכר | מדריך וטכנאי מחשבים: (1:05:14) : זה ואז אתם משולטים בצורה ידנית איזה מטפסת אתם רוצים שהיא תהיה המטפסת האוטומטית שמערכת ההפעלת תתפיס בה אתם יכולים לבחור את המטפסת שלכם וללחוץ על הגדר כברירת מחדל. זאת אומרת שבאופן אוטומטי שאתם תשלחו מסמך להתפסה הוא יתפיס במטפסת הזאת 
עומר טייכר | מדריך וטכנאי מחשבים: (1:05:46) : נחזור למצגת. 
עומר טייכר | מדריך וטכנאי מחשבים: (1:05:49) : האם יש נייר ודיו במטפסת? נראה בנאלי טריוויאלי כאילו מה אנחנו מפגרים תומטמים לא מפגרים ומכנו ברור שיש נייר ודיו אבל לא, לפעמים אין. בדקו אם יש נייר ודיו במטפסת, בנוסף שימו לב אם יש הודעת שגיאה למסך של המטפסת. כמובן תקיעות נייר, בעיות, מחסניות דיו או הודעות אחרות. 
עומר טייכר | מדריך וטכנאי מחשבים: (1:06:16) : נעבור למקרה הבא, המקרה של טלו. יש סרטון, 
עומר טייכר | מדריך וטכנאי מחשבים: (1:06:24) : טלו, סטודנט בין 
עומר טייכר | מדריך וטכנאי מחשבים: (1:06:27) : 24, יושב בבית הקפה. עם הלפטופ החדש שלו. 
עומר טייכר | מדריך וטכנאי מחשבים: (1:06:33) : לומד, כותב, מתרכז, 
עומר טייכר | מדריך וטכנאי מחשבים: (1:06:37) : ופתאום המסך קווה. ואז הוא שם לב, הסוללה התרוקנה. אה, 
עומר טייכר | מדריך וטכנאי מחשבים: (1:06:47) : והוא שכח את המטען ברכב. היום נלמד איך מעריכים את חיי הסוללה בלי לקנות חדשה. 
עומר טייכר | מדריך וטכנאי מחשבים: (1:06:57) : מה לדעתכם, שואל אותכם עכשיו תענו לי בצ'אט, מה לדעתכם החלק שהכי שותח השמל במחשב הנאיאדו? 
עומר טייכר | מדריך וטכנאי מחשבים: (1:07:06) : קחו לכם איזה כמה שניות, 
עומר טייכר | מדריך וטכנאי מחשבים: (1:07:09) : תתעוררו מהשינה שלכם. 
עומר טייכר | מדריך וטכנאי מחשבים: (1:07:14) : גיאורה לא אומר לך אם זה נכון, יש עוד אנשים, חוץ מגיאורה, CPU, לפי שימון, 
עומר טייכר | מדריך וטכנאי מחשבים: (1:07:22) : המסך... 
עומר טייכר | מדריך וטכנאי מחשבים: (1:07:25) : יפה, יש את האנשים שהם לא רדומים. אה, 
עומר טייכר | מדריך וטכנאי מחשבים: (1:07:29) : שמעון, נתתי לכם רמז בתמונה, המסך. 
עומר טייכר | מדריך וטכנאי מחשבים: (1:07:36) : הדבר השני שאתם צריכים לעשות זה שימוש במצב חיסכון באנרגיה. 
עומר טייכר | מדריך וטכנאי מחשבים: (1:07:41) : הגבלת הביצועים של המאבד 
עומר טייכר | מדריך וטכנאי מחשבים: (1:07:44) : והתאמת בהירות המסך. 
עומר טייכר | מדריך וטכנאי מחשבים: (1:07:47) : מה שעושים, 
עומר טייכר | מדריך וטכנאי מחשבים: (1:07:49) : אני לא יכול להראות לכם את זה כרגע, אני אראה לכם איפה זה נמצא במחשב. זה נמצא במחשב, פה כשאתם לוחצים על הסמל הזה של הרמקולים והרשת במחשב נייד אתם תראו כל מיני... יש לכם גם פה חיסכון באנרגיה, גם פה במחשב נייח הוא נותן את החיסכון באנרגיה, אוקיי? 
עומר טייכר | מדריך וטכנאי מחשבים: (1:08:10) : מה שקורה שברגע שאנחנו, לפני שאנחנו יוצאים מהבית, 
עומר טייכר | מדריך וטכנאי מחשבים: (1:08:19) : אנחנו מעבירים את המחשב הנייד שלנו למסך חיסכון באנרגיה. חיסכון באנרגיה מקביל את הביצועים של המאבד ואת בהירות המסך ככה שהסוללה שלנו תחזיק יותר זמנו. 
עומר טייכר | מדריך וטכנאי מחשבים: (1:08:33) : טיפ נוסף זה להפחית את בהירות המסך כמה שיותר. 
עומר טייכר | מדריך וטכנאי מחשבים: (1:08:40) : זאת אומרת שגם כשאתם משתמשים במצב חיסכון באנרגיה 
עומר טייכר | מדריך וטכנאי מחשבים: (1:08:44) : ואתם יכולים להוריד עוד את בהירות המסך, עוד אני רוצה שוב להראות לכם כי זה מאוד חשוב, כשאתם תלחצו במחשב הנייד שלכם, על הסמל הקטן הזה, איפה שהרמם קולים ואתם יכולים לעשות את זה כבר עכשיו אם אתם במחשב נהד והרשת ווי-פיי שלכם או כל דבר, 
עומר טייכר | מדריך וטכנאי מחשבים: (1:09:04) : אתם תראו פה אתם רואים את הדבר הזה של הסאונד את הבר הזה של הסאונד, יהיה לכם עוד אחד כזה 
עומר טייכר | מדריך וטכנאי מחשבים: (1:09:13) : לבהירות של המסך אתם צריכים להוריד אותו הכי 
עומר טייכר | מדריך וטכנאי מחשבים: (1:09:18) : נמוך שאפשר הכי נמוך שאפשר שתוכלו לעבוד עם המחשב, ככל שהמסך יהיה פחות בהיר, 
עומר טייכר | מדריך וטכנאי מחשבים: (1:09:28) : המסוללה תחזיק כמה שיותר זמנו. 
עומר טייכר | מדריך וטכנאי מחשבים: (1:09:33) : שלוש, הפסקת תוכנות זוללות משאבים. 
עומר טייכר | מדריך וטכנאי מחשבים: (1:09:37) : אני אראה לכם בקצרה איך עושים את זה, אנחנו לא ניכנס לזה לעומק. זה הראיתי בהרצאה במיומנו של טכנאי 1. 
עומר טייכר | מדריך וטכנאי מחשבים: (1:09:46) : אתם יכולים ללכת ללחוץ על כפתור ימני בשורת המשימות שלכם. 
עומר טייכר | מדריך וטכנאי מחשבים: (1:09:51) : כפתור ימני. ומנהל המשימות בתוך מנהל המשימות אני מראה את זה בקצרה אני לא נכנס כי ימזתי עליכם גם ככה במידע 
עומר טייכר | מדריך וטכנאי מחשבים: (1:10:04) : יש פה בצד ימי, הנה, דבר קל, אפליקציות ידחו לו. זה אפליקציות שעולות עם המחשב שלכם. 
עומר טייכר | מדריך וטכנאי מחשבים: (1:10:13) : הרבה מהאפליקציות האלה, כרגע לי אין שום אפליקציה, אבל יש הרבה אפליקציות פה, לרוב המשתמשים יש אפליקציות, אצלי הכל מסונן, שמשתמשות בזיכרון שלכם. 
עומר טייכר | מדריך וטכנאי מחשבים: (1:10:27) : בואו נראה אם יש פה אפליקציות, לא, אין לי. אתם תראו אפליקציות. ואתם יכולים לבטל את האפליקציות, 
עומר טייכר | מדריך וטכנאי מחשבים: (1:10:37) : להפוך אותן ללא זמינות, אפליקציות שמשתמשות בזיכרון שלכם. 
עומר טייכר | מדריך וטכנאי מחשבים: (1:10:43) : לא, בעיה שאני כבר אסרתי את כל האפליקציות, אז אתם לא רואים, אבל אתם, אצלכם, אתם יכולים לראות שיכול להיות שהרבה אפליקציות רצות בהתקלה, וזה גוזל את הזיכרון שלכם במחשב. ככל שיש יותר תוכנות שרצות ברקע, וגוזלות את הזיכרון שלכם, אה 
עומר טייכר | מדריך וטכנאי מחשבים: (1:11:02) : הסוללה תעבוד פחות זמן ואיתו המחשב נהד. המחשב נהד לא רק המסך גוזל זיכרון, לא רק המסך גוזל מהסוללה, מהאנרגיה, גם הזיכרון גוזל 
עומר טייכר | מדריך וטכנאי מחשבים: (1:11:17) : והמאבד גוזל, אבל המסך שלנו גוזל הכי הרבה אנרגיה 
עומר טייכר | מדריך וטכנאי מחשבים: (1:11:24) : מהסוללה. 
עומר טייכר | מדריך וטכנאי מחשבים: (1:11:27) : דבר נוסף שאני יכול להגיד לכם, יש לכם פה... אם אתם יכולים לחבות את הווי-פיי ואת הבלוטוס שלכם, רק אם אתם יכולים, זה גם רכיבים שחוסכים באנרגיה, 
עומר טייכר | מדריך וטכנאי מחשבים: (1:11:41) : אם אפשר לחבות. לפעמים אינטרנט זה אינטרנט, אבל אם אפשר לחבות, תחבו את זה, זה חוסך באנרגיה. אם יש לכם סוללה ישנה במחשב מעל שנתיים, יש לסוללות מחזורי שימוש, מחזורי תהינה. 
עומר טייכר | מדריך וטכנאי מחשבים: (1:11:58) : ככל שיש פחות מחזורי טעינה, ככל שאתם משמשים יותר בסוללה, מחזורי הטעינה שלך הולכים ונגמרים, סוללה שהיא כבר אחרי שנתיים כדאי להחליף אותה, 
עומר טייכר | מדריך וטכנאי מחשבים: (1:12:09) : וזה ישפר לכם את הזמן שהמחשב הזה חי, אין צורך לסבול לו. 
עומר טייכר | מדריך וטכנאי מחשבים: (1:12:18) : אז פה בעצם סיירנו את ההרצאה, 
עומר טייכר | מדריך וטכנאי מחשבים: (1:12:22) : ולשאלות שלכם איך מקבלים את ההרצאה, אני רוצה... אני רוצה לאתגר אתכם, מה אתם חושבים שזה 
עומר טייכר | מדריך וטכנאי מחשבים: (1:12:29) : תקבלו בככה? 
עומר טייכר | מדריך וטכנאי מחשבים: (1:12:32) : קודם כל, כל מי שנכנס להרצאה שלי היום, 
עומר טייכר | מדריך וטכנאי מחשבים: (1:12:36) : מקבל את ההרצאה ב-27 שקלים, במקום אני מוכר את ההרצאות שלי, אני עובד עליהם המון זמן. 
עומר טייכר | מדריך וטכנאי מחשבים: (1:12:43) : כל מי שנמצא היום יכול לרכוש, אני אשלח לכם קוד קופון, אתם יכולים לקנות דרך האתר שלי ב-27 שקלים, במקום 47 שקלים. מיד אתם מקבלים את הכישור לצפייה. 
עומר טייכר | מדריך וטכנאי מחשבים: (1:12:56) : האפשרות השנייה, יש לי אפליקציה, אני אדבר עליה בכמה דקות, מרתקת, חלק מהאנשים פה כבר 
עומר טייכר | מדריך וטכנאי מחשבים: (1:13:03) : שמשים בה. בכל יום חמישי אני מעלה פוסטים, כל הזמן אני מעלה פוסטים וטיפים. 
עומר טייכר | מדריך וטכנאי מחשבים: (1:13:10) : יש לי קבוצת וואטסאפ, שלקראת מיומנו של טכנאי מחשבים, 
עומר טייכר | מדריך וטכנאי מחשבים: (1:13:15) : כמה מפתיע. אני מעלה כל הזמן פוסטים וטיפים. בכל יום חמישי הולך רידון שבועי עם פרסים. עונים על השאלות. קוראים את הפוסטים שלי צוברים ניקוד מי שמגיע למקום הראשון בדירוג השבועי יקבל את ההרצאה בחינם לגמרי וגם מי שלא יקבל קופונים 
עומר טייכר | מדריך וטכנאי מחשבים: (1:13:34) : הפרס החודשי 
עומר טייכר | מדריך וטכנאי מחשבים: (1:13:37) : בין החודש ויענה על שאלות הוא מקבל מערז שאני שולח 
עומר טייכר | מדריך וטכנאי מחשבים: (1:13:44) : בגס ברנר וכבר היו כמה חודשים לאפליקציה הזאת כולם מקבלים את הפרסים שלהם אני אוהב לחלק פרסים אני אוהב שאתם לומדים אני אוהב שאתם מונים על שאלות. 
עומר טייכר | מדריך וטכנאי מחשבים: (1:13:59) : דרך אגב אנשים שואלים מה המוטיבציה שלך 
עומר טייכר | מדריך וטכנאי מחשבים: (1:14:03) : לעשות אפליקציה כזאת. כשאני אתם מוטים מהאפליקציה אני בעצם רואה מה אתם לא יודעים. כשאני רואה מה אתם לא יודעים אני יודע לכוון את התוכן שלי אני אוהב לתת ידע זה המטרה שלי בחיים. אני רואה מה אתם לא יודעים אני מכוון את הידע שלי. 
עומר טייכר | מדריך וטכנאי מחשבים: (1:14:21) : לחוסרים שלכם 
עומר טייכר | מדריך וטכנאי מחשבים: (1:14:24) : ההרצאה הבאה שלי אתם רואים שיניתי את התמונה 
עומר טייכר | מדריך וטכנאי מחשבים: (1:14:30) : אני אראה את זה בסוף 
