עומר טייכר | מדריך וטכנאי מחשבים: (24:15) : עוד חצי דקה מתחילים. עוד חצי דקה מתחילים. 
עומר טייכר | מדריך וטכנאי מחשבים: (51:26) : ומה זאת אומרת? כל אחד מתחבר לשקע חשמל בבית, וכל פעם שאתם עוברים עם מחשב ליד אחד מהראוטרים, הראוטר אומר למחשב אני קרוב אליך, אני פה, תתחבר אליי. ואז אתם מקבלים בכל נקודה בבית את האינטרנט המהיר ביותר. עכשיו בלי שהם איכותיים, במיוחד שאני משתמש בTP-Link ואני ממליץ ללקוחות שלי TP-Link, בעילה שהם איכותיים, הם גם מפזרים את האינטרנט בבית בצורה מיטבית. לכן אתם תקבלו אינטרנט בצורה מהירה, לחלק מהאנשים פה כבר התקנתי את זה, אני מקווה שהם ירוצים. ‫אז אני מקווה שהסברתי לכם על מש, ‫אם לא הצלחתם להבין עד הסוף, ‫אתם מוזמנים לקרוא על זה ‫או לשאול אותי לאחר מכן. ‬‬‬‬
עומר טייכר | מדריך וטכנאי מחשבים: (52:11) : ‫הסיפור הבא שאני רוצה לספר ‫הוא הסיפור של דורית. ‫מה המחק המעירבי בין המש למחשב? ‫מאוד רחוק, מאוד. ‫זה יכול להיות ‬‬‬‬‬
עומר טייכר | מדריך וטכנאי מחשבים: (52:22) : עשרות מטרים. הדברים האלה מיועדים לחללים ענקיים. זה, 
עומר טייכר | מדריך וטכנאי מחשבים: (52:29) : אפילו הבתים הגדולים ביותר, כל מיני קוטג'ים, כל מיני דופלקסים, בתים של שלוש קומות, זה מתאים. אין לזה גבול, טעמי. אין לזה גבול. דורית. דורית בית 46, מנהלת משרד אורכי דין. היא רגילה לעבוד מסודר. בסוף אנחנו נדבר על דגמים ממיליה. דורית בת 46 מנהלת משרד אורחי דין. היא רגילה לעבוד מסודר עם קלסרים, עם חוזים, עם לוחות זמנים. באותו בוקר לקוח חדש הגיע לחתום על מסמך חשוב. דורית פתחה את המסמך, לחצה על התפס ו... חיכתה. 
עומר טייכר | מדריך וטכנאי מחשבים: (53:08) : המתפסת לא זזה. טוב, אולי נרדמה היא חשבה. נגשה אליה, לחצה שוב, כלום. היא ניסתה לשלוח 
עומר טייכר | מדריך וטכנאי מחשבים: (53:19) : מהמחשב של המזכירה, פתאום הופיעה הודעה המטפסת לא מחוברת. איך לא מחוברת? אתמול הטפסתי רגיל היא אמרה, הלקוח היכה, דורית הסמיקה. היא הרגישה כאילו היא מנסה לעשות רושם, אבל המטפסת החליטה לשים לרגלו. והיום אנחנו הולכים להבין למה זה קורה, ואיך לבדוק בכמה שניות אם הבעיה היא באמת במטפסת, או בכלל במקום אחר לגמרי. אז נתחיל. מטפסת תענו לי בצ'ט שותפה נאמנה או אויבת צמויה 
עומר טייכר | מדריך וטכנאי מחשבים: (54:01) : משט צריך בכל בית. נאמנה אמרת יפה נאמנה אוקיי. 
עומר טייכר | מדריך וטכנאי מחשבים: (54:09) : טמי אויבת צמויה אוקיי אוקיי עוד מישהו עוד מישהו. לשאלה של 
עומר טייכר | מדריך וטכנאי מחשבים: (54:18) : טמי לא רק בבית דופלקס בכל בית שיש בעיות אינטרנט. 
עומר טייכר | מדריך וטכנאי מחשבים: (54:23) : איך זה יכול להיות גם וגם? כן, לפעמים דינה, לפעמים היא אויבת ולפעמים היא משותפה. 
עומר טייכר | מדריך וטכנאי מחשבים: (54:30) : אז נמשיך. חמש שאלות שכדאי לשאול את עצמכם כשיש לכם בעיה במדפסת. 
עומר טייכר | מדריך וטכנאי מחשבים: (54:38) : השאלה הראשונה, האם המדפסת מחוברת בצורת קינה לרשת? 
עומר טייכר | מדריך וטכנאי מחשבים: (54:45) : תבדעו שהמדפסת מחוברת לאותה רשת ווי-פיי שבה נמצא המחשב. זה קריטי ביותר 
עומר טייכר | מדריך וטכנאי מחשבים: (54:53) : לפעמים המטפסת מחוברת לרשת מסוימת. אתם מחברים אותה והמחשב שלכם מחובר לרשת אחרת זה קורה? במקרים מסוימים ייתכן והמחשב על המדפס מחובל ברשתות שונות. מה שעלול למנוע הדפסה. זה קריטי, קריטי, קריטי. אוקיי? האם החלפתם ספק אינטרנט לאחרונה או קיבלתם נתב חדש? קריטי. במידה והחלפתם נתב או ספק אינטרנט חשוב לוודא שהמדפסת מוגדרת מחדש עם ההגדרות של הרשת החדשה. ייתכן ותצטרכו לחבר את המטפסת מחדש לרשת הווי-פיי ולהזיז סיסמאות חדשות. קריטי, קריטי, קריטי. שלוש, האם ניתן לחבר את המטפסת 
עומר טייכר | מדריך וטכנאי מחשבים: (55:38) : בקבל רשת? 
עומר טייכר | מדריך וטכנאי מחשבים: (55:41) : במטפסות שנקראת HP, 
עומר טייכר | מדריך וטכנאי מחשבים: (55:45) : OfficeJet, 
עומר טייכר | מדריך וטכנאי מחשבים: (55:49) : יש חיבור לרשת. אתם זוכרים שסיפרתי לכם מקודם שחיבור על חוטי הוא לא יציב וחיבור חוטי הוא מאוד יציב אז אם יש למטפסת שלכם אפשרות להתחבר ישירות בקבל רשת המטפסת שלכם תעבוד כל הזמן בלי בעיות. אני המטפסת שאני מחוברת כבר עשר שנים לרשת בקבל פעם אחת לא הייתה לי בעיה. לעומת זאת, מטפסות שעובדות רק בהלכות, הן עושות בעיות. למה? כי רכיב ההלכות, החלק של ההלכות במטפסות הוא מאוד מאוד מאוד לא איכותי. אוקיי? הוא גרוע ולכן עושה המון בעיות. 
עומר טייכר | מדריך וטכנאי מחשבים: (56:34) : במהלך השנים המון המון אנשים התקשרו ואמרו לי עומר המדפסת מתנתקת מהמחשב אני מניח שרובכם 
עומר טייכר | מדריך וטכנאי מחשבים: (56:44) : מכירים את הבעיה הזאת מגדירים להם אותה מחדש והיא שוב מתנתקת מהמחשב. למה? כי בראשי הרכיב ווי-פיי שלה, הרכיב הלכותי של המטפסת לא טוב, זה מועד לפורנות. כל הזמן יש בעיות. קאבל גם מספק מהירות. כשאתם שולחים להטפסה זה מטפיס מיד. אין את הדיליי הזה אין את העיכוב הזה בהדפסה 
עומר טייכר | מדריך וטכנאי מחשבים: (57:07) : אז איך מחברים בעצם קבל רשת תסתכלו זו אותה מטפסת יש לה חיבור קבל רשת למטפסות תומכות בלבד את הקבל מחברים בקבל ללאר האוטר שלכם 
עומר טייכר | מדריך וטכנאי מחשבים: (57:21) : אם זה לא עובד ויש לכם בעיות התפסה תחברו את זה בקבל USB זה הדבר הפתרון הכי נכון במידה ואין לה המטפצת שלכם קבל רשת לא תוכלו להתפיס מכל מקום בבית, אבל לפחות תקבלו הטפסה יציבה מהמחשב. 
עומר טייכר | מדריך וטכנאי מחשבים: (57:41) : למי שיש קבל USB ועדיין יש בעיות, תנסו לחבר ל-USB אחר. לנתק את ה-usb מהמחשב ולחבר אותו ל-usb אחר זה לרוב פותר את הבעיה ארבע אם המפסת מוגדרת ברירת מחדל במחשב מה זה ברירת מחדל אני רוצה להראות לכם 
עומר טייכר | מדריך וטכנאי מחשבים: (58:00) : תסתכלו כשאנחנו נכנסים להגדרות 
עומר טייכר | מדריך וטכנאי מחשבים: (58:04) : של המחשב 
עומר טייכר | מדריך וטכנאי מחשבים: (58:08) : לתוך מערכת אני אעשה את זה לאט כדי שתוכלו לראות מערכת 
עומר טייכר | מדריך וטכנאי מחשבים: (58:15) : מתחת למערכת סליחה את בלוטוס ואת קנים תסתכלו שוב בתוך ההגדרות יש לי בלוטוס ואת קנים אני לוחץ פה יש לי מדפסות וסורקים אני אגיד לכם שתסתכלו מדפסות וסורקים 
עומר טייכר | מדריך וטכנאי מחשבים: (58:32) : אני נכנס תסתכלו יש לי רשימה של מדפסות המדפסת שעובדת אצלכם צריכה להיות ברירת המחדל זאת אומרת המדפסת שאליה יפנה המחשב כשהוא מדפיס אם המדפסת שלכם לא תהיה ברירת המחדל המחשב יתחיל לנסות להטפיס למטפסות שלא עובדות או לא תקינות ולכן הוא לא יעבוד כמו שצריך 
עומר טייכר | מדריך וטכנאי מחשבים: (59:05) : הדבר הבא זה זה נראה טריוויאלית זה נשמע basic אבל לא תמיד זה basic. הרבה אנשים לא בודקים את זה ולכן נוצרות להם בעיות. תבדקו אם יש נייר בדיוק במדפסת. שימו לב אם יש הודעת שגיעה למסך של המדפסת כמו תקיעת נייר בעיות מחסניות יואו דעות אחרות קריטי קריטי קריטי שוב אתם תוכלו להסתכל בווידאו לעבור שלב שלב זה מאוד מאוד חשוב אחת מהבעיות האלה הן הבעיות של המדפסת שלכם. 
עומר טייכר | מדריך וטכנאי מחשבים: (59:39) : הסיפור הבא שאני רוצה לספר הוא הסיפור של טל. 
עומר טייכר | מדריך וטכנאי מחשבים: (59:44) : טל סטודנט, יש לו מחשב ניית חדש יחסית, שנתיים, אולי שלוש. ‫הוא לא מבין הרבה בטכנולוגיה, ‫אבל כן יודע דבר אחד. ‫כשהוא לומד, הוא שוכח מהקולו. ‫אז באותו יום הוא ישב בבית קפה. ‫ישב עם הקפה שלו, ‫הקליט במחברת, סיכם הרצאה, ופתאום המסך קבע. הוא לחץ, ניער, ניסה לחבר לחשמל, כלום. רק אז הבין שהסוללה התרוקנה. אבל מה שהכי עצבן אותו זה שזה קרה לו כבר פעם שנייה. המחשב היה אמור להחזיק עשר שעות הוא אמר לעצמו. והיום אני רוצה להראות לכם איך מעריכים את חיי הסוללה בלחיצת כפתור. לא תמיד צריך לקנות סוללה חדשה, לפעמים פשוט צריך לדעת דברים קטנים. ‬‬‬‬‬‬
עומר טייכר | מדריך וטכנאי מחשבים: (1:00:42) : עכשיו אני לא נמצא בתוך מחשב נייד, אבל עושים דבר כזה, ככה, רגע, רגע. 
עומר טייכר | מדריך וטכנאי מחשבים: (1:00:56) : לפני שאני מראה לכם, קודם כל שאלה. בין הפותרים נכונה, יוגרל, 
עומר טייכר | מדריך וטכנאי מחשבים: (1:01:05) : אני אגריל את המילה כל הכבוד. מה לפי דעתכם, החלק ששותה הכי הרבה חשמל במחשב נייד תכתבו לי בצ'אצ 
עומר טייכר | מדריך וטכנאי מחשבים: (1:01:19) : לא להירדם תכתבו מה לפי דעתכם החלק שהכי שותה חשמל 
עומר טייכר | מדריך וטכנאי מחשבים: (1:01:27) : מסך, מאבד, הסרטונים לא, הסרטונים זה לא חלק במחשב מרתע, הסרטונים זה מה שעל המסך. 
עומר טייכר | מדריך וטכנאי מחשבים: (1:01:34) : אחד מהחלקים במחשב הוא מאבד, אוקיי, המסך אוקיי, דיסק אוקיי, טאי, יפה, או אתם פעילים, אורי, גרפיקה, נכון. אז ככה, מאבד ותאורת מסך. אז מסתבר שהמאבד דווקא צריך פחות חשמל, פחות נשארות אפליקציות. לא, נילי, אפליקציות זה לא חלק במחשב או. אני מדבר על החלק במחשב או. זה יכול להיות מסך, יכול להיות מאבד, יכול להיות כרטיס גרפי. אז גם אני חקרתי על זה, זה מאוד סקרן אותי. כשהמחשב שלנו עובד במצב של אינטרנט ואופיס, אוקיי? שהוא עובד בצורה חלשה, מה ששותה הכי הרבה זה המסך שלנו. המסך. כאשר המחשב עובד במצב שהוא על מי מנוחות, רק אופיס ואינטרנט, הוא עובד, המסך גוזל הכי הרבה סוללה. כשאנחנו עובדים על עריכות, על עריכת וידאו, עריכת תמונות, הכרטיס הגרפי שלנו, ה-GPU כמו שחלק הנשים רשמו, הוא הדבר שגוזר הכי הרבה סוללה. אני חוזר. כרטיס מסך כשאנחנו מבצעים עריכות, כשאנחנו לא מבצעים עריכות, רק עובדים במחשב שלנו, בדברים משרדיים, המסך שותה הכי הרבה סוללה. הרבה סוללה. 
עומר טייכר | מדריך וטכנאי מחשבים: (1:03:03) : אז בואו נראה לכם, רגע. 
עומר טייכר | מדריך וטכנאי מחשבים: (1:03:09) : אז בעצם, אני רוצה לדבר איתכם על שלושה דברים, 
עומר טייכר | מדריך וטכנאי מחשבים: (1:03:14) : שבעצם יחסכו לנו המון המון חשמל. קודם כל כשאתם עובדים במחשב שלכם מחוץ לבית, אוטומטי, 
עומר טייכר | מדריך וטכנאי מחשבים: (1:03:25) : אתם לא, מה שקורה המחשב שלכם מוגדר להשתמש במצב חיסכון באנרגיה, כשהוא מגיע ל-20% סוללה, אז לא. מהרגע שאתם עובדים מחוץ לבית אתם שמים את המחשב שלכם במצב של חיסכון באנרגיה. ככה עושים את זה. אני אראה לכם. 
עומר טייכר | מדריך וטכנאי מחשבים: (1:03:45) : יפה. 
עומר טייכר | מדריך וטכנאי מחשבים: (1:03:48) : תראו אתם לוחצים פה. אני פה במחשב נייח אז אתם לא תראו את זה. יש לכם לחצנים, אה, גם פה יש לי את זה. במחשב נייד יש גם את זה, אתם רואים את הכפתור חיסכון באנרגיה? אוקיי. אתם לוחצים מיד לחיסכון באנרגיה, ישר. 
עומר טייכר | מדריך וטכנאי מחשבים: (1:04:08) : מה שקורה במצב חיסכון באנרגיה, המאבד שלכם יעבוד טיפה לאט יותר, והמסך שלכם יהפוך לקהה יותר. כמו שאמרתי, הוא צורך הרבה חשמל. ככל שהמסך קהה יותר, הוא צורך פחות חשמל. שימו לב, כשאתם שמים את הטלפון שלכם בלילה, לא בתינה, בלי מסך, הפוך, 
עומר טייכר | מדריך וטכנאי מחשבים: (1:04:35) : כמה סורלה נגמרת במהלך הלילה אני אראה לך תמי אראה לך על מה לחצתי פה תסתכלי איפה שיש ליד השעון יש לך פה חלק קטן כזה שאיפה שנמצא 
עומר טייכר | מדריך וטכנאי מחשבים: (1:04:50) : הרמקול את לוחצת עליו פה יהיה לך כפתורים אחד מהכפתורים יהיה חיסכון בסוללה חיסכון באנרגיה, אוקיי? 
עומר טייכר | מדריך וטכנאי מחשבים: (1:05:01) : אני אגדיל את זה שתוכלי לראות יותר בגדול חיסכון באנרגיה 
עומר טייכר | מדריך וטכנאי מחשבים: (1:05:07) : אז אם אתם שמים לב שאתם שמים את הטלפון שלכם בלי מסך, כמה הסוללה נגמרת בו? הרבה פחות מאשר אתם עובדים בטלפון שלכם, תשימו לב. הדבר השני שאתם עושים, 
עומר טייכר | מדריך וטכנאי מחשבים: (1:05:21) : אתם מפחיתים את הבהירות 
עומר טייכר | מדריך וטכנאי מחשבים: (1:05:23) : של המסך, למינימום האפשרי, זאת אומרת דבר כזה, כשאתם עובדים במחשב נייד, ואתם נוחשים על חיסכון בינגה, אתם תראו פה פס, אתם לא רואים את זה פה, כי אני לא עובד במחשב נייד, אתם תראו פה פס שמראה לכם את התאורה של המסך שלכם, את העוצמה של התאורה. 
עומר טייכר | מדריך וטכנאי מחשבים: (1:05:43) : אותו דבר גם בטאבלט, אמת, אמת, אמת, אמת. אתם מורידים אותו למינימום האפשרי שאתם יכולים. כמה שיותר כאב אתם יכולים לעבוד בו, כמה שהוא יותר כאב, הסוללה שלכם תחזיק הרבה, הרבה יותר זמן. הדבר השלישי, אתם צריכים להפסיק תוכנות של זוללות משאבים, ואני אראה לכם איך עושים את זה. כשאתם נמצאים במחשב שלכם, 
עומר טייכר | מדריך וטכנאי מחשבים: (1:06:11) : אתם יכולים ללחוץ על שורת המשימות למטה, וללחוץ כפתור ימני, 
עומר טייכר | מדריך וטכנאי מחשבים: (1:06:18) : ומנהל המשימות. אני אשאיר את זה כמה שניות שתוכלו לראות. שוב כפתור ימני על שורת המשימות ומנהל המשימות. 
עומר טייכר | מדריך וטכנאי מחשבים: (1:06:29) : פה תוכלו לראות 
עומר טייכר | מדריך וטכנאי מחשבים: (1:06:32) : את התהליכים במחשב שלכם וכמה 
עומר טייכר | מדריך וטכנאי מחשבים: (1:06:37) : מאבד הם תופסים, האם זוללים את הזיכרון ואת המאבד שלכם או לא. אתם יכולים לראות שלי אין משהו מיוחד, אבל אם אתם תראו שיש לכם פה ב cpu 99 או בזיכרון 99 או משהו שתופס הרבה מאוד זיכרון זה אומר שהוא גם זולל לכם את הסוללה כבר שה cpu מתאמץ ויחד עם הזיכרון יחד עם הדיסק הם זוללים לכם את הסוללה אז אם למשל אתם מזהים פה איזה תהליך שאתם לא מכירים או שאתם לא משתמשים בו 
עומר טייכר | מדריך וטכנאי מחשבים: (1:07:09) : ואתם רואים שהוא תופס הרבה מהCPU ומהזיכרון שלכם אתם יכולים ללחוץ עליו כפתור ימני וסיים משימה. שוב אם זה תוכנה שאתם עובדים עליה לא לעשות אבל אם זה תוכנה שאתם מזהים שאתם לא עובדים עליה או תוכנה תקועה למשל היא תתפוס לכם הרבה מהזיכרון מהדיסק ומהבד וזה יגזור לכם מהסוללה בעצם זה שלושה דברים שתעשו אותם הסוללה שלכם תחזיק הרבה הרבה יותר זמן. ואם כבר המחשב שלכם הרבה שנים עובד על הסוללה, תדעו שיש לסוללה מחזורת טעינה וכבר זה עבוד, אתם צריכים להחליף סוללה. אני לא מדבר על סוללות שהן כבר זקנות, אוקיי? 
עומר טייכר | מדריך וטכנאי מחשבים: (1:07:52) : אני מקווה שלמדתם והשכלתם. 
עומר טייכר | מדריך וטכנאי מחשבים: (1:07:57) : אני מאמין שרצתי טיפה יותר מהר לחלק מהאנשים. אתם תוכלו תמיד לראות את זה בהקלטה, תעבור עליה לאט לאט. 
עומר טייכר | מדריך וטכנאי מחשבים: (1:08:05) : אז נדבר על ההרצאה הבאה שלי. ההרצאה הבאה שלי היא ב-25 במי, ביום ראשון, כמו היום. זה תהיה הרצאה מד הימה, שאני קורא לה הכל שלי המילים שלה. זאת תהיה הרצאה לבינה מלאכותית, כמו שלא ראיתם עד היום. אני לא מדבר על מה לכתוב, ‫איך לכתוב, ‫אלא איך להפעיל אותה בצורה הטובה ‫ביותר עם כל מיני כלים טכניים. מה אנחנו נלמד? איך לדבר והפוסט פשוט ייכתב מעצמו. הדרך הכי פשוטה ללמד את הבינה להכיר אתכם, ככל שהיא תכיר אתכם יותר טוב, היא תיתן לכם תשובות יותר טובות. אני אלמד אתכם דברים שלא שמעתם בשום מקום, באחריות. ‫כלים וטכניקות שלא תמצאו ‫באף הרצאה אחרת, ‫היא כרגע הרצאה עדיין בבנייה, ‫ואתם חלק מהתהליך. ‫אז איך אני יכול לעזור לכם? ‫אני נותן שירותי תיקול מחשב, ‫כמו שהבנתם, ‫אני עובד הרבה על גיבויים, אני מומחה בגיבויים, כל מחשב חייב גיבוי. אני עובד על ניהול סיסמאות, שחזור חשבונות והגדרה של לימוד עוד דו שלבי. ‬‬‬‬‬‬‬‬‬‬‬
עומר טייכר | מדריך וטכנאי מחשבים: (1:09:11) : על מפרט כן המעליה, אנחנו נדבר על זה מחר. 
עומר טייכר | מדריך וטכנאי מחשבים: (1:09:16) : הרבה אנשים שוכחים את הסיסמה שלהם, החשבונות שלהם לא מוגנים, פורצים להם לפייסבוק, פורצים להם לאינסטגרם, הם שוכחים את הסיסמה. אני עוזר לכל הדברים האלה, תאמינו לי אני מסוגל לשחזר דברים שלא האמנתם שניתן. אני עושה דרכות מותמות אישית, זאת אומרת שאתם לא צריכים ללמוד מא' עטף כל דבר המון שעות. אתם יכולים להגיע עם נושא מסוים, עם תחום מסוים שאתם רוצים לדעת, ואני אלמד אתכם על התחום הספציפי הזה, על הנושא הספציפי הזה, מה שאתם באמת צריכים לדעת, לא הכל, צריכים להיות מדויקים, לא הכל צריך לדעת. 
עומר טייכר | מדריך וטכנאי מחשבים: (1:09:55) : עזבות מיוחדות למשתתפי הסדנה, עד סוף השבוע, 10% על כל שירותי התיקון שלי, ואני יכול לעשות לכם עד רבע שעה בדיקת איטיות ללא עלות אני עושה את זה טיק טיק טיק מי שמסתבך אני יכול להגיד לו בדיוק תוך זמן קצר למה המחשב שלו איטי. מי שרוצה את פרק אחד שישלח לי הודעת וואטסאפ פרטית ואני אשלח לו את פרק 1 
עומר טייכר | מדריך וטכנאי מחשבים: (1:10:21) : אני מוזמנן לצורתי קשר בטלפון 0526 587 420 ואני אשלח לכם את זה גם במייל הסיכום כנראה מחר כי היום אני כבר לא אהיה בבית אחרי ההרצאה. 
עומר טייכר | מדריך וטכנאי מחשבים: (1:10:33) : תודה שהקשבתם. 
עומר טייכר | מדריך וטכנאי מחשבים: (1:10:36) : עכשיו בעצם אני אצא משיתוף המסך. 
עומר טייכר | מדריך וטכנאי מחשבים: (1:10:40) : ובעצם זה... רגע. 
עומר טייכר | מדריך וטכנאי מחשבים: (1:10:48) : יצאתי מהזום? שנייה. יצאתי מהזום? שנייה. 
עומר טייכר | מדריך וטכנאי מחשבים: (1:10:57) : נראה לי שיצאתי מהזום, אה לא, לא יצאתי מהזום הזה. שנייה אני עושה stop share, יפה. עכשיו אני אוציא אותי מהזה, חתור. 
עומר טייכר | מדריך וטכנאי מחשבים: (1:11:10) : אני אוציא אתכם, אני אאפשר לכם לפתוח את המיקרופון. אני רוצה שאתם תשאלו אותי שאלות, זה לא חייב להיות בנושא ההרצאה, יש לנו משהו כמו איזה אפלו 40 דקות. אתם תשאלו אותי שאלות בכל נושא שאתם רוצים, נתחיל בשאלות על ההרצאה עצמה אם אתם רוצים. כל אחד שאלה אחת, אני פתוח לשאלות, אני אעניין לכם על כל מה שאתם רוצים. ‫מי שרוצה לשאול שאלה, ‫יכול להרים את היד או להתפרץ. ‬‬
עומר טייכר | מדריך וטכנאי מחשבים: (1:11:40) : ‫אני אשמח לשמוע. ‬
עומר טייכר | מדריך וטכנאי מחשבים: (1:11:44) : ‫יש ‬
אורי אסיף: (1:11:45) : לי שאלה בנושא ההרצאה. 
עומר טייכר | מדריך וטכנאי מחשבים: (1:11:47) : כן. 
אורי אסיף: (1:11:49) : דיברת קודם על החיבור ישיר. 
עומר טייכר | מדריך וטכנאי מחשבים: (1:11:51) : נכון. 
אורי אסיף: (1:11:52) : וגם על הוואי פיי. 
עומר טייכר | מדריך וטכנאי מחשבים: (1:11:54) : אמת. 
Zohar: (1:11:55) : אצלי 
אורי אסיף: (1:11:55) : במחשב שניהם היו מחוברים בו זמנית, האם זה... אי 
עומר טייכר | מדריך וטכנאי מחשבים: (1:11:59) : אפשר, לא, זה לא אפשר 
Zohar: (1:12:02) : רגע 
עומר טייכר | מדריך וטכנאי מחשבים: (1:12:03) : אני שומע אותי בהד 
Zohar: (1:12:07) : רגע 
עומר טייכר | מדריך וטכנאי מחשבים: (1:12:07) : אני שומע חכה חכה רגע 
Zohar: (1:12:09) : אני אשים 
עומר טייכר | מדריך וטכנאי מחשבים: (1:12:13) : תצא מהמיעוט 
עומר טייכר | מדריך וטכנאי מחשבים: (1:12:17) : אז אני אחזור אוקיי 
עומר טייכר | מדריך וטכנאי מחשבים: (1:12:20) : מה שכן אפשר לחבר את המחשב בקבל ווי פיי בקבל רשת סליחה וביוסבי אבל מה שהדומיננטי יהיה היוסבי זאת אומרת שהמחשב שלך יהיה מחובר ביוסבי אי אפשר לחבר את המטפסת באותו זמן גם ל-USB וגם לרשת. אין חיה כזאת. או רשת או אינטרנט. אוקיי? עניתי לך על השאלה? 
אורי אסיף: (1:12:45) : אני לא מדבר על המטפסת, אלא 
עומר טייכר | מדריך וטכנאי מחשבים: (1:12:48) : על 
אורי אסיף: (1:12:48) : המחשב בלבד. על 
עומר טייכר | מדריך וטכנאי מחשבים: (1:12:49) : המחשב בלבד, אוקיי. 
אורי אסיף: (1:12:51) : האם וי-פיי ורשת תורם משהו או שמזיק? 
עומר טייכר | מדריך וטכנאי מחשבים: (1:12:55) : לא, מזיק לא, אבל המחשב מחובר ישירות לקבל רשת, זה הברירת מחדל שלו. אם יש וייפאי וקבל רשת, המחשב מתחבר לקבל רשת. 
אורי אסיף: (1:13:07) : לא תורם ולא מזיק. 
עומר טייכר | מדריך וטכנאי מחשבים: (1:13:09) : לא תורם ולא מזיק. אמת. זה כמו המחשב הנייד שלך. אתה מדבר על מחשב ניהח או ניהד? 
אורי אסיף: (1:13:15) : אצלי המחשב הניהד הוא נייח. הוא על השולחן, אני לא מזיק אותו. 
עומר טייכר | מדריך וטכנאי מחשבים: (1:13:19) : בסדר, אז זה אותו דבר במחשב נייד. כמו שלמשל אתה מחוץ לבית, אתה מתחבר בווי-פיי, וכשאתה בתוך הבית, אתה מתחבר בקבל. תמיד הקבל הוא קודם לווי-פיי. כן, 
אורי אסיף: (1:13:32) : הבנתי. טוב, תודה. עומר? 
עומר טייכר | מדריך וטכנאי מחשבים: (1:13:37) : אוקיי, כן. 
תמי: (1:13:38) : אני מקווה שאתה שם לב למי שירים יד, אז זה דבר טוב. 
עומר טייכר | מדריך וטכנאי מחשבים: (1:13:42) : אני קשה להתעדכן, יש פה הרבה אנשים. 
תמי: (1:13:44) : בסדר, אז אני, אני רמתי יד, אז אני כבר אשאר. 
עומר טייכר | מדריך וטכנאי מחשבים: (1:13:47) : אוקיי, אוקיי, תעבי. 
תמי: (1:13:49) : שאלה ראשונה לגבי 
תמי: (1:13:51) : המש הזה שאתה הצגת. 
עומר טייכר | מדריך וטכנאי מחשבים: (1:13:53) : כן. 
תמי: (1:13:54) : אנחנו חוברים לסלקום בטלוויזיה וברדיו, בטלפון וכו' וכו'. עכשיו, יש לנו את הראוטר שלהם. 
עומר טייכר | מדריך וטכנאי מחשבים: (1:14:02) : ראוטר. 
תמי: (1:14:03) : אז מה אנחנו עושים עם המש? כאילו, אפשר להחליף 
תמי: (1:14:08) : את ה... לא הבנתי מה... 
עומר טייכר | מדריך וטכנאי מחשבים: (1:14:10) : אתם לא, אוקיי, אוקיי, אוקיי, אוקיי. לא מחליפים את הראוטר, קונים מש ומחברים אותו לראוטר. יחידה אחת, את זוכרת שהראיתי לכם שאפשר שני יחידות ואפשר שלוש? 
תמי: (1:14:22) : כן. יחידה 
עומר טייכר | מדריך וטכנאי מחשבים: (1:14:23) : אחת מתחברת לראוטר, היא בעצם מקבלת את האינטרנט הקווי מהראוטר. כן. 
תמי: (1:14:29) : זוכרת 
עומר טייכר | מדריך וטכנאי מחשבים: (1:14:29) : שסיפרתי שהקווי הוא היציב ביותר. 
תמי: (1:14:32) : כן. 
עומר טייכר | מדריך וטכנאי מחשבים: (1:14:33) : אז בעצם אחד מהמשים 
עומר טייכר | מדריך וטכנאי מחשבים: (1:14:35) : קולט את האינטרנט הקווי מהראוטר, והשני הוא בעצם מדבר איתו, הוא לא צריך אינטרנט, הוא מחובר רק לחשמל, ומדבר ביניהם, והוא מפיץ את האינטרנט. סבבה, 
תמי: (1:14:47) : אז עכשיו השאלה של מרחקים, זאת אומרת, את הראשון שצריך לחבר לראוטר, איזה מרחק הוא יכול לתת בשביל... מרחק 
עומר טייכר | מדריך וטכנאי מחשבים: (1:14:54) : מאוד גדול, לא. לא, 
תמי: (1:14:56) : לא, צריך קבל, נכון? אז השאלה איזה קבל, איזה אורך הקבל. מה את אומרת 
עומר טייכר | מדריך וטכנאי מחשבים: (1:15:00) : קבל? 
תמי: (1:15:01) : אמרת שהם חברים אותה ישירות לראוטר. 
עומר טייכר | מדריך וטכנאי מחשבים: (1:15:03) : נכון, את מקבלת קבל עם זה. לא, 
תמי: (1:15:06) : בסדר, איזה אורך הקבל הזה? 
עומר טייכר | מדריך וטכנאי מחשבים: (1:15:09) : אני חושב, יש לו מטר? 
תמי: (1:15:12) : אז הוא נותן 
תמי: (1:15:14) : חיזוק רק במרחק של מטר מהראוטר. 
עומר טייכר | מדריך וטכנאי מחשבים: (1:15:16) : לא, לא, לא, לא, לא, לא. הקבל בעצם מעביר את האינטרנט מערה יותר למש, זה לא קשור לאורך שלו. 
תמי: (1:15:23) : אוקיי, בסדר. אז עכשיו, אם יש לי בית נניח של 120 מטר מרובה, אז כמה כאלה משים אני צריכה בשביל שיהיה לי בכל מקום בבית? 
עומר טייכר | מדריך וטכנאי מחשבים: (1:15:35) : אם את רוצה קליטה מיטבית, שלוש, אוקיי? 
תמי: (1:15:38) : באיזה מרחקים אחד? יש 
עומר טייכר | מדריך וטכנאי מחשבים: (1:15:39) : לך ממד או אין לך ממד? הממד 
תמי: (1:15:42) : הוא לא רלוונטי כאן. 
